Year,Total_Return,Annual_Return,Sharpe,Sortino,MaxDD_sparse,MaxDD_hourly,Trades
2021,0.2059943237935371,0.3569042479036637,4.874119509073071,0.0,0.0,-0.08640299082096703,5
2022,0.040479189770488144,0.05751478907875085,0.41210751172884563,0.0,-0.018219731584191212,-0.11118901667782222,4
2023,0.09142091091191196,0.4559393315228817,1.0308869933966993,0.0,-0.01513358747959137,-0.05659079771861675,4
2024,0.19700929908135167,0.4901655134334375,1.3521699529371907,9.707464138543449,-0.057829424231233606,-0.07264858316444545,6
2025,0.13527654490738428,0.19914309536591857,1.3390408592475018,0.0,0.0,-0.11706010604500827,3
2026,0.3587060738018817,3.8347904648724,3.0695488250515925,0.0,0.0,-0.1625257005524725,4
