Year,Return,Daily_Mean,Daily_Std,Sharpe,Sortino,Max_Drawdown,Days
1997,0.04873699171835266,0.0007611185042309997,0.0261175712728782,0.46261505545177084,0.8329267197262653,-0.19932517142151096,112
1998,2.196899936447051,0.0049642202234998585,0.026037736218229995,3.0265516298323436,3.8037727280985667,-0.3317181502201345,252
1999,2.924185001147159,0.0060576579583756385,0.03521037908645135,2.7310793410094703,4.208839042788712,-0.32111338215574015,252
2000,0.5949724412233035,0.0029674807781915327,0.04712064595324704,0.9997167059953939,1.420756303333847,-0.652802113475973,252
2001,0.23752420352294412,0.0011594096094903064,0.024284353856263836,0.7578977425199984,0.9569827093524048,-0.37971867219628674,248
2002,-0.12030198339924592,-0.00025698981060044316,0.022540361653423983,-0.18099029787920337,-0.3051556042243976,-0.37593145520653004,252
2003,0.9588077037829628,0.0028783005730570106,0.020420506395503517,2.237535358030217,3.6424500712047467,-0.14091572532153496,252
2004,2.0133307671591107,0.004631417546539491,0.02222944285988744,3.307391675917096,5.696547839022577,-0.20616355207373882,252
2005,0.45681680893095167,0.0016302603609599966,0.016513372295043804,1.5671893337066325,2.377550761405775,-0.22505511835102843,252
2006,-0.04237359700108334,-1.3273609776600627e-06,0.018490026560633192,-0.001139598270035094,-0.0016157415275665388,-0.370215197209962,251
2007,1.4829943485968071,0.0038773071980486716,0.02232996722174141,2.7564009836922936,4.460682988573125,-0.16204969613004916,251
2008,-0.2572288422054051,-0.0007344990882540756,0.029733813725421502,-0.3921397928303768,-0.6099353299032167,-0.475590973490156,253
2009,0.016366214998912776,0.0003529698525570586,0.02401081366029474,0.23336246660730184,0.3324410363691686,-0.3782997073636768,252
2010,0.6942345309064297,0.0023554843097108487,0.022881720128203397,1.6341496178676151,2.3455681027773627,-0.2693164374024375,252
2011,-0.19128729907702147,-0.0004301916408047289,0.02868948649105853,-0.23803425649103932,-0.31892245698249494,-0.4994192813206939,252
2012,0.505797217483023,0.00182199705328411,0.01913281576677426,1.511711966887868,2.0321395286006596,-0.23180947481648262,250
2013,1.492290973952946,0.003837386322982637,0.02053016747121624,2.967175959765663,5.5930768238274,-0.11769617131773713,252
2014,0.2618193108309874,0.0011049182374695133,0.01903612898490656,0.9214075648642674,1.2050248925413352,-0.24838977876845159,252
2015,0.5362224438802661,0.0021156594057713416,0.029023133948659692,1.1571821271584264,1.7778459761111933,-0.3080329989902624,252
2016,-0.007522525832528992,0.00014534834064147684,0.018736017707735492,0.1231496155091099,0.18140609434841518,-0.3276199830167633,252
2017,0.2803258342896726,0.001145338256405309,0.01795925507337398,1.0123850397300975,1.4501015259841012,-0.137002455531123,251
2018,0.7492212563414984,0.002583501288256366,0.02655459063821167,1.5444339580303164,2.0015628130872933,-0.29935278146963096,251
2019,0.3123523301241826,0.0012922912228220476,0.02075268411553494,0.9885221144476218,1.5100882818322872,-0.1690652250720559,252
2020,5.1834037858728905,0.008041955191850142,0.04150882954658801,3.0755403693298056,6.941564722788919,-0.27863856384061736,253
2021,-0.1800639231879536,-0.00047356018325710495,0.0251593690747958,-0.2987966364328973,-0.5138880144527228,-0.47693045909480625,252
2022,0.24398796063445505,0.0011554648833963803,0.02409579993974781,0.7612296095865735,1.3967456305896555,-0.19549478360174133,251
2023,0.5650266959092021,0.0020594683515278707,0.023245017777196685,1.4064539274724575,2.6417504282151665,-0.29821495931268227,250
2024,0.7406222136204714,0.0026662482675012026,0.030641426834281036,1.3813122778224278,2.3630487640838904,-0.20222260851950113,252
2025,1.7602813525586876,0.004807791985602486,0.03870347620111984,1.9719503048977653,2.7538409502220755,-0.38389325429000076,250
2026,2.1224235560654967,0.011203370770178309,0.03543492961173731,5.019002418515945,11.566357792491683,-0.09992648281252159,108
