Low_Bubble_Entry,Leverage_Multiplier,Leverage_Hold_Days,High_Bubble_Entry,UVXY_Allocation,UVXY_Hold_Days,Total Return,Annual Return,Sharpe Ratio,Sortino Ratio,Max Drawdown
-0.9,1.25,40,0.85,0.3,30,798010.6187288355,0.587128688471916,1.2933090417325344,1.9238237945712588,-0.6528021134759732
-0.9,1.25,60,0.85,0.3,30,817618.7410618151,0.5884387560714408,1.2916111617680759,1.9239209544601323,-0.6528021134759732
-0.9,1.3,40,0.85,0.3,30,810394.3844126494,0.5879596453492528,1.2890852453068997,1.9146468331213886,-0.6528021134759732
-0.9,1.25,50,0.85,0.3,30,769721.806756562,0.5851827797955409,1.2889844821980971,1.9179197389623746,-0.6528021134759732
-0.9,1.3,60,0.85,0.3,30,833836.4833091345,0.5894995714481077,1.286984374610598,1.9145038740071716,-0.6528021134759732
-0.9,1.25,60,0.85,0.3,40,789242.247882148,0.5865327593860954,1.285833477392538,1.916325509904411,-0.6528021134759731
-0.9,1.25,40,0.85,0.3,40,748951.5405722996,0.5837095551219618,1.2851456452937542,1.9120251697272548,-0.6528021134759731
-0.9,1.25,50,0.85,0.3,40,761046.8034932798,0.5845721932942456,1.28494551033179,1.913516613181646,-0.6528021134759731
-0.9,1.35,40,0.85,0.3,30,821842.7028334497,0.5887169931715102,1.2846506173483438,1.9048138941752533,-0.6528021134759732
-0.9,1.25,60,0.85,0.3,50,751860.3233354266,0.5839182330298678,1.2846504077556407,1.9289066544558693,-0.6306890886295369
-0.9,1.3,50,0.85,0.3,30,775850.5791366075,0.5856101567183418,1.2838984742886088,1.9074901427450526,-0.6528021134759732
-0.9,1.25,50,0.85,0.3,50,723891.3711535395,0.5818785878017305,1.2838122257181812,1.9258250882706949,-0.62691254360928
-0.9,1.35,60,0.85,0.3,30,849037.5366142982,0.5904759415353715,1.2821324740370166,1.9043643828145327,-0.6528021134759732
-0.9,1.3,60,0.85,0.3,40,806713.2215102501,0.587713925910071,1.2815686163558593,1.9076201283432745,-0.6528021134759731
-0.9,1.3,40,0.85,0.3,40,757997.6109463151,0.5843559791429049,1.2808241809582652,1.9027394878146469,-0.6528021134759731
-0.9,1.3,50,0.85,0.3,40,772519.776170928,0.5853782965241843,1.2805530684928794,1.9044169002969378,-0.6528021134759731
-0.9,1.3,60,0.85,0.3,50,767786.2283044996,0.5850471231297922,1.2803654704186043,1.919844410877716,-0.6341507910650483
-0.9,1.25,40,0.85,0.3,50,668765.2337742969,0.5776253873668697,1.279802711413886,1.9168388040780107,-0.6198131595772978
-0.9,1.3,50,0.85,0.3,50,733909.5946597153,0.5826177855750017,1.2794131093483676,1.9163206543655555,-0.629654549144662
-0.9,1.35,50,0.85,0.3,30,780891.588577041,0.5859592434404857,1.2786058773736835,1.8963931548268065,-0.6528021134759732
-0.9,1.35,60,0.85,0.3,40,823292.9304047539,0.5888122028095353,1.2770781720336895,1.89819192311613,-0.6528021134759731
-0.9,1.35,40,0.85,0.3,40,766114.488969948,0.5849296917041005,1.2762980218110582,1.8928086380007083,-0.6528021134759731
-0.9,1.35,50,0.85,0.3,40,783039.8504327406,0.5861073481443353,1.2759482369031523,1.894640435003084,-0.6528021134759731
-0.9,1.35,60,0.85,0.3,50,782852.0167399922,0.5860944142499815,1.2758568118097684,1.910052105977176,-0.6376255599372196
-0.9,1.35,50,0.85,0.3,50,743020.3684853528,0.5832816122811648,1.2748043152441342,1.906134126015004,-0.6324218107503474
-0.9,1.3,40,0.85,0.3,50,667620.8245513486,0.5775335483044104,1.2746818621188445,1.905770591224445,-0.6211690248186783
-0.9,1.35,40,0.85,0.3,50,665626.4058011749,0.577373131751572,1.269374773004561,1.8940915195883579,-0.6225623705360339
-0.9,1.25,40,0.85,0.4,30,932428.7794450613,0.5955489546576787,1.2553737202938815,1.9030089988559458,-0.652802113475973
-0.9,1.25,60,0.85,0.4,30,955339.7205305919,0.5968659726185628,1.254184315029607,1.903520953260317,-0.652802113475973
-0.9,1.3,40,0.85,0.4,30,946898.4834371479,0.5963843200484185,1.2520021238044663,1.8949768238464333,-0.652802113475973
-0.9,1.25,50,0.85,0.4,30,899374.9615694678,0.5935927222632917,1.2514494727046248,1.8975162704375486,-0.652802113475973
-0.9,1.3,60,0.85,0.4,30,974289.20130489,0.5979324159874089,1.250508707863027,1.895335918661466,-0.652802113475973
-0.9,1.35,40,0.85,0.4,30,960275.172158963,0.5971456858626041,1.2484335439079168,1.8863120868078669,-0.652802113475973
-0.9,1.3,50,0.85,0.4,30,906536.072691752,0.5940223665683644,1.2472904952002826,1.8883107016282326,-0.652802113475973
-0.9,1.35,60,0.85,0.4,30,992050.7406709988,0.5989139660554077,1.246619672428924,1.8864511793638938,-0.652802113475973
-0.9,1.35,50,0.85,0.4,30,912426.1966077626,0.5943733053162099,1.2429364936372638,1.878458587741454,-0.652802113475973
-0.9,1.25,60,0.85,0.4,40,881371.2901473517,0.5924977861681453,1.2409056133271572,1.884829129560441,-0.652802113475973
-0.9,1.25,50,0.85,0.4,40,849884.5673157981,0.5905298487634896,1.2398106622344554,1.8818582667605757,-0.652802113475973
-0.9,1.25,40,0.85,0.4,40,836377.413964527,0.5896639672545836,1.2398076716215576,1.880249526000516,-0.652802113475973
-0.9,1.3,60,0.85,0.4,40,900881.6655341822,0.5936833936278076,1.23766543958798,1.8775703459795698,-0.652802113475973
-0.9,1.3,40,0.85,0.4,40,846479.4399036497,0.590312821692784,1.2364279364276767,1.8723428651103247,-0.652802113475973
-0.9,1.3,50,0.85,0.4,40,862696.7899491085,0.591338982770655,1.2364005654566734,1.8741648084482663,-0.652802113475973
-0.9,1.35,60,0.85,0.4,40,919396.7380894852,0.5947857998155455,1.2342142629999486,1.8696193475018072,-0.652802113475973
-0.9,1.35,40,0.85,0.4,40,855543.8080711728,0.5908886912915652,1.2328590885213908,1.8638199282992998,-0.652802113475973
-0.9,1.35,50,0.85,0.4,40,874444.881515978,0.5920707754703167,1.2327930994808705,1.8658243887483095,-0.652802113475973
-0.9,1.25,60,0.85,0.4,50,801663.4261959058,0.587375081646643,1.2327523373245457,1.8844513883906313,-0.6306890886295373
-0.9,1.25,50,0.85,0.4,50,771841.8177339617,0.5853309849609507,1.2316586261132578,1.8811777093314561,-0.6269125436092804
-0.9,1.3,60,0.85,0.4,50,818644.2590601969,0.5885064355114886,1.2295782483534494,1.8771295890624111,-0.6341507910650481
-0.9,1.3,50,0.85,0.4,50,782523.6458175614,0.5860717960086612,1.2283181068570446,1.8733652990801237,-0.6296545491446625
-0.9,1.25,40,0.85,0.4,50,713064.1390332114,0.5810685020582618,1.2275764992212366,1.8723173194397758,-0.6198131595772969
-0.9,1.35,60,0.85,0.4,50,834708.0014904437,0.589556012309552,1.2261967025269431,1.869115061230622,-0.6376255599372193
-0.9,1.35,50,0.85,0.4,50,792237.9149845559,0.5867370714944291,1.224784678351921,1.8649069903748243,-0.6324218107503476
-0.9,1.3,40,0.85,0.4,50,711843.9244343585,0.5809764625601177,1.223493722467831,1.8629456570024021,-0.6211690248186783
