threshold,hold_period,annual_return,sharpe,max_dd,win_rate,total_return
-0.85,13,13.563531244157012,0.9497980853029035,-17.361608452377975,50.31982942430704,26.708488119102313
-0.85,26,15.321727179134982,1.5298698240368787,-15.33982131457079,53.205128205128204,30.310025002372363
-0.85,39,14.534136622186434,1.848619705454446,-16.491168020900492,53.00429184549357,28.523598588737453
-0.85,52,14.278170322512707,2.1052138117540893,-14.041093876249544,55.172413793103445,27.857449360469346
-0.85,65,14.259988775391585,2.3610203963020266,-13.658765820314168,55.62770562770562,27.684836471643017
-0.85,78,14.51153781020973,2.6087024728141572,-12.033578334413308,55.65217391304348,28.062869440243787
-0.85,104,15.802915945201622,3.368548719377474,-9.917968870286797,55.04385964912281,30.407312138481622
-0.8,13,16.668865900506024,1.204092153276585,-13.601633815515457,51.385927505330486,33.23264513646187
-0.8,26,13.144071857466798,1.3816860170754086,-16.427958579137147,52.35042735042735,25.777199896411606
-0.8,39,12.706730502043516,1.6132139681932889,-17.713057711092905,55.15021459227468,24.757308092676112
-0.8,52,13.618209221680889,1.9940158528367609,-14.752743982248429,57.327586206896555,26.50119250073162
-0.8,65,14.120208952108527,2.3161506005330406,-14.16605607427448,58.00865800865801,27.3986101129841
-0.8,78,14.709123482267096,2.600583891433022,-13.030989784703772,58.69565217391305,28.46651096646895
-0.8,104,16.433943654541938,3.4282521772196106,-11.19815136508513,61.622807017543856,31.696011696210746
-0.75,13,11.419397346755256,0.8986120343393526,-16.15743671274428,50.74626865671642,22.292345929902257
-0.75,26,8.743469721609065,0.9046297335351262,-18.601700175209757,52.35042735042735,16.843865742224118
-0.75,39,10.73219974925619,1.3282676224668688,-19.047503325227765,55.15021459227468,20.74568726596253
-0.75,52,11.55815313127626,1.7021922905682079,-15.959620890583547,55.603448275862064,22.310217998775016
-0.75,65,12.447751618577719,2.1088161052778958,-14.863426651481081,57.7922077922078,23.99659412222359
-0.75,78,13.659681363159448,2.5015848987033436,-13.636854967842726,58.69565217391305,26.329218193437164
-0.75,104,15.395004597489127,3.3635869242266185,-11.766859016957575,61.40350877192983,29.57728411013072
-0.7,13,10.079124043780574,0.8206138120048118,-17.062563136308405,50.10660980810234,19.568718255949435
-0.7,26,8.08040481374739,0.835329490701629,-18.69300422903184,51.49572649572649,15.524189606093053
-0.7,39,10.063002626993246,1.26246382226131,-18.75417456079733,54.72103004291845,19.39976198164817
-0.7,52,11.358664930133354,1.7144982432959375,-15.51282650362733,56.46551724137932,21.90780754219066
-0.7,65,11.537485678182557,2.0122282699873453,-14.61958550023229,57.7922077922078,22.1625882241403
-0.7,78,12.69174879228463,2.413030688712849,-13.490742490413277,59.130434782608695,24.37231219798559
-0.7,104,14.392288814031073,3.282612360671553,-11.494213073115011,61.40350877192983,27.54701784016853
