ma_window,bubble_threshold,mom_lookback,hold_hours,top_n,total_return,annual_return,sharpe,max_drawdown,win_rate,n_trades
500,-0.7,13,4,5,-0.2342007752060139,-0.06706250769181743,-2.1021496503519588,-0.23440198173023363,1.364213197969543,252
500,-0.7,6,8,10,-0.10987273347862414,-0.02982520703503555,-2.1046336546564124,-0.11539069087260134,0.6246917639322702,139
1000,-0.7,6,26,10,-0.03993304273059961,-0.010545680627667253,-2.1104568209536385,-0.04086511123689285,0.2646041115408101,45
1000,-0.7,13,26,5,-0.040086529937952364,-0.010586834927094224,-2.119138303549425,-0.042615370449622825,0.24424994911459394,45
1000,-0.7,6,8,5,-0.12404296999517084,-0.03386697962191909,-2.1194640634644055,-0.12558769777729895,0.7324595219737857,124
500,-0.7,13,26,10,-0.04060799052466724,-0.010726689766157538,-2.1238933923534282,-0.04060799052466724,0.2119018188239449,55
252,-0.7,13,13,10,-0.08102245724446056,-0.021741151060801545,-2.1290348116674305,-0.08702833682008171,0.5803643398355635,112
1000,-0.5,13,8,5,-0.14572744416228112,-0.04014673417127612,-2.1498334556822263,-0.14934424769123011,1.6347601634760165,201
1000,-0.5,13,26,5,-0.05646974660631221,-0.015007916686423206,-2.1587293491045374,-0.05646974660631221,0.4405286343612335,69
1000,-0.7,6,8,10,-0.11342701906747121,-0.0308344967235209,-2.1635171885479307,-0.12027581464915404,0.7324595219737857,124
252,-0.7,13,8,10,-0.1229173111767854,-0.033544146809768804,-2.1793556832848924,-0.1306246318933848,0.6796416434970652,154
252,-0.7,26,4,10,-0.20534635579786298,-0.05804247919979,-2.184465299139684,-0.22689754953963914,1.405741343592779,266
1000,-0.7,26,8,5,-0.11857516747939101,-0.032301708070876844,-2.1867225724337027,-0.11963143049395175,0.8288357748650733,124
252,-0.7,6,4,10,-0.22454611135433278,-0.06401684034876443,-2.192021600908418,-0.24083704634065006,1.3909440662918022,266
1000,-0.7,13,4,10,-0.1895486752353761,-0.053206317267996184,-2.2165319495319893,-0.1999480369538187,1.5846383296047726,232
1000,-0.5,6,4,5,-0.2882749334910282,-0.0846670464451672,-2.22309727025933,-0.29683964098150906,3.0210246989181466,387
252,-0.5,6,4,5,-0.3483623785184615,-0.10543113366314294,-2.2260695167632862,-0.37363931392817273,3.4836755301245375,538
252,-0.7,13,26,10,-0.04418992166721403,-0.011688880675318702,-2.2359298554138323,-0.045951426767540715,0.30853616729516625,68
1000,-0.5,6,8,5,-0.16703647369137942,-0.04643372270892243,-2.2587070390032693,-0.17054435212306585,1.6992901699290168,201
252,-0.7,26,8,10,-0.12646511837360486,-0.034562680751603514,-2.276577940992209,-0.1361253793293814,0.8032128514056224,154
500,-0.7,26,26,10,-0.04250013004616704,-0.011234631114413474,-2.2848172736945944,-0.04314470284956329,0.2119018188239449,55
