MA_h,Threshold,Hold_h,TopN,sharpe,sortino,maxdd,ann_ret,total_ret,win_rate,active_days
104,-0.8,13,10,2.503845384977,4.048030249545866,-0.10745017070214147,0.36000820043195203,8.77440267157052,0.5632570659488559,1486
156,-0.8,13,10,2.3310744127089875,3.637842196127703,-0.10184481827144742,0.33256106255144013,7.403162474054785,0.5596455351056578,1467
104,-0.8,8,10,2.249151354674888,3.641816378092528,-0.06895444181971389,0.2704781439631547,4.89960856788475,0.5416949152542373,1475
52,-0.8,13,10,2.2401230989742644,3.6431380493507706,-0.09647480447386714,0.29581847145340134,5.829889796817287,0.5437415881561238,1486
208,-0.8,13,10,2.23506856923063,3.518220281918532,-0.11549106525869801,0.32628786965700907,7.114259383522514,0.5496598639455782,1470
208,-0.8,26,10,2.219878956923799,3.5549860373184594,-0.10078881619566626,0.35659308880953366,8.593886403041822,0.5540809555408096,1507
156,-0.8,26,10,2.194324712043311,3.489474580192953,-0.10975948091943566,0.34049036448592074,7.781036133243546,0.5487967914438503,1496
104,-0.8,13,5,2.1589339590270833,3.409453265824263,-0.1194342977096905,0.3078541065344045,6.314460531991711,0.5497981157469717,1486
156,-0.8,8,10,2.1527406786580854,3.3134344239284568,-0.09065095547603497,0.26294980446881056,4.645294501618146,0.5592060232717317,1461
104,-0.8,26,10,2.082028330884486,3.2426670935789357,-0.12145034899398566,0.3167012890395202,6.689365267137769,0.5438943894389439,1515
208,-0.8,8,10,2.0799581588718974,3.1223498548782036,-0.09200037076944523,0.2554429394994715,4.40120513989934,0.5508241758241759,1456
156,-0.8,26,5,2.0102263180581628,3.1349180659035185,-0.12114604604481227,0.3116168826152481,6.471931065935561,0.5461229946524064,1496
156,-0.8,13,5,1.99966904676083,3.044080878816064,-0.12478340215931094,0.28382162551870516,5.374771055376195,0.5555555555555556,1467
52,-0.8,8,10,1.9929953121475317,3.210560489773635,-0.08044815090437363,0.22450626887924385,3.4890220567329857,0.5453929539295393,1476
208,-0.8,13,5,1.9490728375926158,2.9955134790024025,-0.11549106525869801,0.28466505721010216,5.405887029846171,0.5414965986394558,1470
208,-0.8,26,5,1.9420761791777694,3.0353189909893237,-0.1118222072084123,0.3109842793255977,6.445253632523751,0.5414731254147312,1507
52,-0.8,26,10,1.9340399410299833,2.9644772457862962,-0.1253113642576682,0.27118793078809755,4.924089084773492,0.5401459854014599,1507
156,-0.8,4,10,1.84072984012099,3.030047234330114,-0.09147763546395471,0.2041179980037353,2.96358688051513,0.5386206896551724,1450
156,-0.8,8,5,1.831900936886464,2.7458752897758405,-0.11484359289086954,0.22635210542269335,3.5394350596431297,0.5503080082135524,1461
104,-0.8,8,5,1.8121147227643501,2.863962466205894,-0.09676261116118468,0.2190757881836325,3.343504250732427,0.5247457627118645,1475
104,-0.8,13,3,1.7998286432228356,2.775921817360794,-0.1317094784732168,0.2534959638889982,4.339410142686921,0.5417227456258412,1486
104,-0.8,26,5,1.7974247550724225,2.7414266793022097,-0.14816481401258563,0.2721236149491193,4.9564950444352105,0.5399339933993399,1515
52,-0.8,13,5,1.7958602768712524,2.8798616254371066,-0.09463799223493352,0.2360493267819126,3.8124101744072263,0.5309555854643337,1486
