Date,A,B,C,D,E
2019-01-02,-0.0,0.0,0.0,0.0,0.0
2019-01-03,0.02386275432784224,0.0,0.0,-0.0,0.0
2019-01-04,-0.03349577326654041,0.0,0.0,0.0,0.0
2019-01-07,-0.007884511226296409,0.0,0.0,0.0,0.0
2019-01-08,-0.009395263590788794,0.0,0.0,0.0,0.0
2019-01-09,-0.004673585785768708,0.0,0.0,0.0,0.0
2019-01-10,-0.0035273325570586156,0.0,0.0,0.0,0.0
2019-01-11,-0.00038648832606136274,0.0,0.0,-0.0,0.0
2019-01-14,0.006100950560825491,0.0,0.0,-0.0,0.0
2019-01-15,-0.011460780193094156,0.0,0.0,0.0,0.0
2019-01-16,-0.002419997716773592,0.0,0.0,-0.0,0.0
2019-01-17,-0.007586665919162572,0.0,0.0,0.0,0.0
2019-01-18,-0.013309960799851472,0.0,0.0,0.0,0.0
2019-01-22,0.013510498822567274,0.0,0.0,-0.0,0.0
2019-01-23,-0.0020924970421554168,0.0,0.0,0.0,0.0
2019-01-24,-0.0005313648655893566,0.0,0.0,0.0,0.0
2019-01-25,-0.008461624516485244,0.0,0.0,0.0,0.0
2019-01-28,0.007600334296158806,0.0,-0.0,-0.0,0.0
2019-01-29,0.0013270041177571024,0.0,0.0,-0.0,0.0
2019-01-30,0.031661517932514815,0.0,0.007915379483128704,0.0,0.0
2019-01-31,0.017564866046103855,0.0,0.004391216511525964,0.0,0.0
2019-02-01,0.0009636957713925476,0.0,0.0002409239428481369,-0.0,0.0
2019-02-04,0.014070741646784679,0.0,0.0035176854116961698,0.0,0.0
2019-02-05,0.008383564300381785,0.0,0.0020958910750954463,0.0,0.0
2019-02-06,-0.0026362524772101104,0.0,-0.0006590631193025276,-0.0,0.0
2019-02-07,-0.019066103272667556,0.0,0.0,-0.0,0.0
2019-02-08,0.002443075466231015,0.0,0.0,0.0,0.0
2019-02-11,0.0011092140563602193,0.0,0.0002773035140900548,-0.0,0.0
2019-02-12,0.025719325863040154,0.0,0.006429831465760039,0.0,0.0
2019-02-13,0.006493530273172343,0.0,0.0016233825682930858,0.0,0.0
2019-02-14,-0.004436313053015617,0.0,-0.0011090782632539042,0.0,0.0
2019-02-15,0.02179423321642604,0.0,0.00544855830410651,0.0,0.0
2019-02-19,0.0034615050327500008,0.0,0.0008653762581875002,0.0,0.0
2019-02-20,0.0040306082773629015,0.0,0.0010076520693407254,-0.0,0.0
2019-02-21,-0.007111760540826184,0.0,0.0,-0.0,0.0
