Year,Days,Return_%,Sharpe,Max_DD_%
2024,109,-53.000653129430205,-6.412350578187591,-53.086202535602325
2025,250,-85.56510932383623,-5.894890071199374,-85.63417084222333
2026,112,-73.78276007114412,-7.528136261002556,-75.42088407668085
