Year,Return,Ann_Ret,Sharpe,Sortino,MaxDD,Win_Rate,Active_Days
2019,0.169067380748543,0.22624727749905604,1.9886029873086328,1.5813587843045631,-0.02382794350844164,0.6785714285714286,28
2020,0.20827973765176733,0.536534852671178,3.398753827930241,6.166638005912581,-0.053755928484286675,0.5961538461538461,104
2021,0.5831131648421224,0.5831131648421224,4.010007939311213,8.504779563733523,-0.02654534918257645,0.5873015873015873,252
2022,0.561337644385999,0.5641115914130141,2.39958625859184,4.552935043205441,-0.10092972777942111,0.5060728744939271,247
2023,0.3951464825963453,0.3988681012853974,2.923802890902735,4.176124536929563,-0.059149333862044684,0.564,250
2024,0.37926521750240316,0.37926521750240316,3.081637398055597,5.436348682312948,-0.04923437671484798,0.5992063492063492,252
2025,0.35186492564160154,0.3551293975030376,2.3388055799678833,3.673421738560219,-0.06768840220246841,0.54,250
2026,0.20400300080596412,0.5680748980592907,3.5344609796233257,8.455990871580651,-0.027139961363383147,0.5769230769230769,104
