Year,Available,Ret_A,Sharpe_A,MaxDD_A,Ret_C,Sharpe_C,MaxDD_C,Ret_B,Sharpe_B,MaxDD_B,Ret_Fixed_EW,Sharpe_Fixed_EW,MaxDD_Fixed_EW,Ret_Mom_Alloc,Sharpe_Mom_Alloc,MaxDD_Mom_Alloc,Ret_QQQ,Sharpe_QQQ,MaxDD_QQQ,Ret_SPY,Sharpe_SPY,MaxDD_SPY
1997,A,0.04873699171835266,0.46261505545177084,-0.19932517142151096,0.0,0.0,0.0,0.0,0.0,0.0,0.04873699171835266,0.46261505545177084,-0.19932517142151096,0.04873699171835266,0.46261505545177084,-0.19932517142151096,0.0,0.0,0.0,0.04431051238944539,0.5391701903706082,-0.11203043008527669
1998,A,2.196899936447051,3.0265516298323436,-0.3317181502201346,0.0,0.0,0.0,0.0,0.0,0.0,2.196899936447051,3.0265516298323436,-0.3317181502201346,2.196899936447051,3.0265516298323436,-0.3317181502201346,0.0,0.0,0.0,0.2869237846567043,1.2456522179240062,-0.19030080936217353
1999,A,2.989367904822847,2.754932748989618,-0.3211133821557405,0.0,0.0,0.0,0.0,0.0,0.0,2.989367904822847,2.754932748989618,-0.3211133821557405,2.989367904822847,2.754932748989618,-0.3211133821557405,0.7894736655661516,2.196946411546908,-0.1191495027252637,0.20389382162437286,1.1151570040665144,-0.1169557108959105
2000,A,0.5949724412233035,0.9997167059953939,-0.6528021134759731,0.0,0.0,0.0,0.0,0.0,0.0,0.5949724412233035,0.9997167059953939,-0.6528021134759731,0.5949724412233035,0.9997167059953939,-0.6528021134759731,-0.36114915230817657,-0.4859649755155977,-0.5266720663446064,-0.09741484498504227,-0.3099476708826563,-0.1713192770029387
2001,A,0.23752420352294412,0.7578977425199984,-0.3797186721962865,0.0,0.0,0.0,0.0,0.0,0.0,0.23752420352294412,0.7578977425199984,-0.3797186721962865,0.23752420352294412,0.7578977425199984,-0.3797186721962865,-0.33344757131320213,-0.48090803065354276,-0.5840072820629589,-0.11758558373359673,-0.4652096764325916,-0.28814341506708074
2002,A,-0.12030198339924592,-0.18099029787920337,-0.3759314552065307,0.0,0.0,0.0,0.0,0.0,0.0,-0.12030198339924592,-0.18099029787920337,-0.3759314552065307,-0.12030198339924592,-0.18099029787920337,-0.3759314552065307,-0.37368284524255346,-0.9135377470200821,-0.5185986463333058,-0.21584629732042648,-0.787703669217448,-0.32971709513379743
2003,A,0.9588077037829628,2.237535358030217,-0.14091572532153507,0.0,0.0,0.0,0.0,0.0,0.0,0.9588077037829628,2.237535358030217,-0.14091572532153507,0.9588077037829628,2.237535358030217,-0.14091572532153507,0.49668670546016624,1.760124352017198,-0.12177154498358966,0.2818153612470158,1.5851906132656692,-0.1372556848134462
2004,A,2.0133307671591107,3.307391675917096,-0.20616355207373904,0.0,0.0,0.0,0.0,0.0,0.0,2.0133307671591107,3.307391675917096,-0.20616355207373904,2.0133307671591107,3.307391675917096,-0.20616355207373904,0.10538458152810781,0.6664808606046793,-0.15859070467928982,0.10698032266800572,0.9677565810917642,-0.07530514150724543
2005,A,0.45681680893095167,1.5671893337066325,-0.2250551183510281,0.0,0.0,0.0,0.0,0.0,0.0,0.45681680893095167,1.5671893337066325,-0.2250551183510281,0.45681680893095167,1.5671893337066325,-0.2250551183510281,0.015654714029170513,0.18323547452368633,-0.12151891215505328,0.0482823933362404,0.5083532143925712,-0.06957418944321514
2006,A,-0.04237359700108334,-0.001139598270035094,-0.370215197209962,0.0,0.0,0.0,0.0,0.0,0.0,-0.04237359700108334,-0.001139598270035094,-0.370215197209962,-0.04237359700108334,-0.001139598270035094,-0.370215197209962,0.07144078212845795,0.5203647493345648,-0.1726660071419921,0.15845209009225525,1.5256000211345595,-0.07593075988440001
2007,A,1.4829943485968071,2.7564009836922936,-0.16204969613004938,0.0,0.0,0.0,0.0,0.0,0.0,1.4829943485968071,2.7564009836922936,-0.16204969613004938,1.4829943485968071,2.7564009836922936,-0.16204969613004938,0.19028000536372636,1.0539883503028167,-0.11448302381170827,0.05146225816020733,0.3962575925600766,-0.09924574758352034
2008,A,-0.2572288422054051,-0.3921397928303768,-0.4755909734901558,0.0,0.0,0.0,0.0,0.0,0.0,-0.2572288422054051,-0.3921397928303768,-0.4755909734901558,-0.2572288422054051,-0.3921397928303768,-0.4755909734901558,-0.4172714215364062,-1.147669987741093,-0.493973134118335,-0.3679498207696742,-0.9011329470704708,-0.4711663071731138
2009,A,0.016366214998912776,0.23336246660730184,-0.3782997073636767,0.0,0.0,0.0,0.0,0.0,0.0,0.016366214998912776,0.23336246660730184,-0.3782997073636767,0.016366214998912776,0.23336246660730184,-0.3782997073636767,0.5468406911933685,1.8348902189264755,-0.18285759420836956,0.2635173403818798,1.0111120420190762,-0.2713171727426822
2010,A,0.6942345309064297,1.6341496178676151,-0.26931643740243805,0.0,0.0,0.0,0.0,0.0,0.0,0.6942345309064297,1.6341496178676151,-0.26931643740243805,0.6942345309064297,1.6341496178676151,-0.26931643740243805,0.20143798847614613,1.047253277652116,-0.15609372200107452,0.15056168980448947,0.8718070331521097,-0.15699685676156383
2011,A,-0.19128729907702147,-0.23803425649103932,-0.49941928132069435,0.0,0.0,0.0,0.0,0.0,0.0,-0.19128729907702147,-0.23803425649103932,-0.49941928132069435,-0.19128729907702147,-0.23803425649103932,-0.49941928132069435,0.034757753978797545,0.26258501784659555,-0.16099286424842396,0.018949904867558987,0.19671404936855733,-0.18605480284461795
2012,A,0.505797217483023,1.511711966887868,-0.23180947481648273,0.0,0.0,0.0,0.0,0.0,0.0,0.505797217483023,1.511711966887868,-0.23180947481648273,0.505797217483023,1.511711966887868,-0.23180947481648273,0.1811256883391732,1.1711877222760656,-0.11637977285397849,0.1599033065368236,1.2376617494799254,-0.09686957571587251
2013,A,1.492290973952946,2.967175959765663,-0.11769617131773702,0.0,0.0,0.0,0.0,0.0,0.0,1.492290973952946,2.967175959765663,-0.11769617131773702,1.492290973952946,2.967175959765663,-0.11769617131773702,0.36634146721237393,2.6139163025770986,-0.0585388946753731,0.32307711355128554,2.5846913881584532,-0.055506224095752565
2014,A,0.2618193108309874,0.9214075648642674,-0.24838977876845114,0.0,0.0,0.0,0.0,0.0,0.0,0.2618193108309874,0.9214075648642674,-0.24838977876845114,0.2618193108309874,0.9214075648642674,-0.24838977876845114,0.19181436692229537,1.3384528287278474,-0.08248539603424676,0.13463834634837513,1.1796645049934662,-0.07273495455788825
2015,A,0.5362224438802661,1.1571821271584264,-0.3080329989902627,0.0,0.0,0.0,0.0,0.0,0.0,0.5362224438802661,1.1571821271584264,-0.3080329989902627,0.5362224438802661,1.1571821271584264,-0.3080329989902627,0.09435878118555174,0.5936600103003309,-0.1394100864654998,0.012343211045672486,0.15647391198422433,-0.11910289961511478
2016,A,-0.007522525832528992,0.1231496155091099,-0.32761998301676354,0.0,0.0,0.0,0.0,0.0,0.0,-0.007522525832528992,0.1231496155091099,-0.32761998301676354,-0.007522525832528992,0.1231496155091099,-0.32761998301676354,0.07097916235763035,0.5048411739932874,-0.12036523663455179,0.11997875847407524,0.9328857292269196,-0.09187554134472886
2017,A,0.2803258342896726,1.0123850397300975,-0.13700245553112245,0.0,0.0,0.0,0.0,0.0,0.0,0.2803258342896726,1.0123850397300975,-0.13700245553112245,0.2803258342896726,1.0123850397300975,-0.13700245553112245,0.3266352404622943,2.803827838402804,-0.048819251684226406,0.2170538155333568,2.9591290884960517,-0.02610095880140484
2018,A,0.7492212563414984,1.5444339580303164,-0.29935278146963096,0.0,0.0,0.0,0.0,0.0,0.0,0.7492212563414984,1.5444339580303164,-0.29935278146963096,0.7492212563414984,1.5444339580303164,-0.29935278146963096,-0.001262069684726863,0.10875520323102546,-0.22796664015106072,-0.04568989195463535,-0.19044571473020355,-0.19348912979324762
2019,A+C,0.3123523301241826,0.9885221144476218,-0.1690652250720559,-0.0029523809523809286,-1.0000000000000004,-0.0029523809523809286,0.0,0.0,0.0,0.15929535120903848,0.9783769754535825,-0.08704808617117055,0.4302088705560525,1.3522548718328666,-0.10434914718158383,0.3896155773376948,2.1142847086372334,-0.10983193554075776,0.31223868014463485,2.235603253269417,-0.06618348860627687
2020,A+C,5.1834037858728905,3.0755403693298056,-0.27863856384061747,0.11524839141531462,0.7495879833564146,-0.04269354457377983,0.0,0.0,0.0,1.6066636146106354,3.16948877576982,-0.14581123997020917,5.976383001874787,3.3123466812045628,-0.27863856384061747,0.48406139192137987,1.283545565598338,-0.28559367959005433,0.1833159097832222,0.670111064056076,-0.3371726975633845
2021,A+B+C,-0.1800639231879536,-0.2987966364328973,-0.4769304590948058,1.0472426809557431,1.3742641045252284,-0.12046661069581888,0.2035339009744317,1.593604117294214,-0.06838305352343121,0.33154623904239267,1.2462446564972978,-0.16062041272889704,1.5601419849472449,1.700813528469319,-0.17197861593921993,0.2741970836764005,1.4215636865440113,-0.10851563442445533,0.28728804858226376,2.0099968498813534,-0.05114126387346529
2022,A+B+C,0.24398796063445505,0.7612296095865735,-0.1954947836017411,0.3060384825908058,1.1558874235837286,-0.10669933667530862,0.04523267164668998,0.5363185039009323,-0.07776754099794747,0.22327468607164724,1.4293092389962292,-0.08811110087782548,0.7878995680767997,2.6827826983232455,-0.07186992491809863,-0.32577000017170576,-1.069791606792173,-0.34827981517179674,-0.18175387175555646,-0.7095888964926718,-0.2449638271033675
2023,A+B+C,0.5650266959092021,1.4064539274724575,-0.29821495931268205,0.27492320479326904,1.58725734560686,-0.09064848032123118,0.0935980305857369,1.49208697271778,-0.05386269627399587,0.3209203679846515,2.153265794651832,-0.0832865462181579,0.9439394662472058,2.698271282469823,-0.0833716884736011,0.5485560042504047,2.558321134656834,-0.10779924584277467,0.2617580548950329,1.858301989234574,-0.09974290912303341
