alpha_A,alpha_B,ann_ret,sharpe,sortino,max_dd,total_ret
0.0,1.0,0.17833699956675253,1.1297131179970286,0.6529018925405959,-0.16207198359916253,1.60628347892066
0.1,0.9,0.24204647222544384,1.5048592397606617,1.9442916587481416,-0.13973896087126036,2.544141034880762
0.2,0.8,0.30635938796301043,1.6909723644232884,2.4426889788179915,-0.13984433671808183,3.758749140631397
0.3,0.7,0.37103151149621194,1.729948000985159,2.6712690020540397,-0.1683477420076177,5.309387766928836
0.4,0.6,0.43580448088000967,1.7027652834148659,2.708916553272742,-0.19937401629517715,7.260620475114452
0.5,0.5,0.5004072495163101,1.6557777598489234,2.6737614993906513,-0.24094945133713108,9.68036201563896
0.6,0.4,0.5645577202931054,1.6072708294796256,2.6165658599948776,-0.30813151524515836,12.637109777369584
0.7,0.3,0.6279645611707543,1.5630884134492007,2.558654688736926,-0.3704230939080104,16.196314635346862
0.8,0.2,0.6903291886435916,1.5244854630338307,2.5041559412748944,-0.42806594617113347,20.41594182540129
0.9,0.1,0.7513479027003143,1.4911908138279246,2.453781470872107,-0.48130219504900074,25.341363544756554
1.0,0.0,0.8107141542357243,1.462514228768183,2.4105126439617086,-0.5303726945898126,30.999825486661194
