Year,Sh_A,Sh_C,Sh_B,Sh_Fixed,Sh_Mom,Sh_QQQ,Avail
1997,0.46261505545177084,,,0.46261505545177084,0.46261505545177084,0.0,A
1998,3.0265516298323436,,,3.0265516298323436,3.0265516298323436,0.0,A
1999,2.754932748989618,,,2.754932748989618,2.754932748989618,2.196946411546908,A
2000,0.9997167059953939,,,0.9997167059953939,0.9997167059953939,-0.4859649755155977,A
2001,0.7578977425199984,,,0.7578977425199984,0.7578977425199984,-0.48090803065354276,A
2002,-0.18099029787920337,,,-0.18099029787920337,-0.18099029787920337,-0.9135377470200821,A
2003,2.237535358030217,,,2.237535358030217,2.237535358030217,1.760124352017198,A
2004,3.307391675917096,,,3.307391675917096,3.307391675917096,0.6664808606046793,A
2005,1.5671893337066325,,,1.5671893337066325,1.5671893337066325,0.18323547452368633,A
2006,-0.001139598270035094,,,-0.001139598270035094,-0.001139598270035094,0.5203647493345648,A
2007,2.7564009836922936,,,2.7564009836922936,2.7564009836922936,1.0539883503028167,A
2008,-0.3921397928303768,,,-0.3921397928303768,-0.3921397928303768,-1.147669987741093,A
2009,0.23336246660730184,,,0.23336246660730184,0.23336246660730184,1.8348902189264755,A
2010,1.6341496178676151,,,1.6341496178676151,1.6341496178676151,1.047253277652116,A
2011,-0.23803425649103932,,,-0.23803425649103932,-0.23803425649103932,0.26258501784659555,A
2012,1.511711966887868,,,1.511711966887868,1.511711966887868,1.1711877222760656,A
2013,2.967175959765663,,,2.967175959765663,2.967175959765663,2.6139163025770986,A
2014,0.9214075648642674,,,0.9214075648642674,0.9214075648642674,1.3384528287278474,A
2015,1.1571821271584264,,,1.1571821271584264,1.1571821271584264,0.5936600103003309,A
2016,0.1231496155091099,,,0.1231496155091099,0.1231496155091099,0.5048411739932874,A
2017,1.0123850397300975,,,1.0123850397300975,1.0123850397300975,2.803827838402804,A
2018,1.5444339580303164,,,1.5444339580303164,1.5444339580303164,0.10875520323102546,A
2019,0.9885221144476218,-1.0000000000000004,,0.9783769754535825,1.3522548718328666,2.1142847086372334,A+C
2020,3.0755403693298056,0.7495879833564146,,3.16948877576982,3.3123466812045628,1.283545565598338,A+C
2021,-0.2987966364328973,1.3742641045252284,1.593604117294214,1.2462446564972978,1.700813528469319,1.4215636865440113,A+B+C
2022,0.7612296095865735,1.1558874235837286,0.5363185039009323,1.4293092389962292,2.6827826983232455,-1.069791606792173,A+B+C
2023,1.4064539274724575,1.58725734560686,1.49208697271778,2.153265794651832,2.698271282469823,2.558321134656834,A+B+C
2024,1.3813122778224278,0.07053943162810339,1.7861687749982524,1.505930096076886,1.9284218518494725,1.3552850510369159,A+B+C
2025,1.9719503048977653,1.065024588480508,0.9339988083786135,2.151353224235813,3.2666152104311497,0.9226839987895838,A+B+C
2026,5.019002418515945,2.6612877676962094,2.4591641938764828,5.888091906086002,5.561679193606862,1.7875396485702932,A+B+C
