MA_h,Threshold,Hold_h,TopN,sharpe,sortino,maxdd,ann_ret,total_ret,win_rate,active_days
104,-0.8,13,20,2.6475043794422723,4.3110790944847945,-0.10092972777942111,0.38075741540280106,9.935642126157733,0.5655682582380632,1487
156,-0.9,4,20,2.559563564388893,4.231541834594392,-0.09430970163200136,0.3958340866578487,10.8525627850735,0.5505200594353641,1346
52,-0.8,13,20,2.5200841166519434,4.144654595702757,-0.09434846678589737,0.3346181228619354,7.499814692006963,0.5484522207267833,1486
156,-0.8,13,20,2.482304198422791,3.9318361794333554,-0.09675166682890723,0.35330429983750444,8.422780696743681,0.5609257998638529,1469
104,-0.8,13,10,2.480340752727288,3.9771308678482367,-0.10704423206102143,0.35471758883978266,8.495983528475994,0.5622057834566241,1487
208,-0.9,4,20,2.4296031317631925,3.9931054652744273,-0.10421108975788929,0.3868755094509606,10.300042168216345,0.5616956850870553,1321
156,-0.9,4,10,2.407916464494272,3.9584603952358224,-0.1004477418769737,0.36954136604487653,9.293944976714933,0.5460624071322436,1346
104,-0.8,8,20,2.40708993680838,3.84454724909209,-0.062067114380263355,0.28746175930452766,5.510005421135355,0.5588633288227334,1478
208,-0.8,6,20,2.399016674092345,3.947116844096316,-0.0864815037009411,0.2961062512021768,5.841143553649894,0.5517241379310345,1450
208,-0.8,13,20,2.3620881318215483,3.739014340975679,-0.11549106525869801,0.34354673314552797,7.930564413095539,0.5533650577838205,1471
208,-0.9,6,20,2.3366337494277807,3.7464800482046243,-0.12459844083548755,0.41998804137550216,12.46027357742264,0.5539730134932533,1334
156,-0.8,8,20,2.3251799137735825,3.5330571822424934,-0.07936046251514528,0.2822858874797116,5.318450130445493,0.5703551912568307,1464
156,-0.8,6,20,2.315203521087423,3.7993558898185555,-0.08728648084011137,0.27584522061218864,5.086909971221502,0.547455295735901,1454
208,-0.7,13,20,2.287628108157338,3.6339084313017245,-0.11952582589088023,0.3107300010380756,6.434553735719382,0.5510340226817878,1499
156,-0.8,26,20,2.282706097777626,3.6588018990651663,-0.10923034158385958,0.35288953970886716,8.401390626138259,0.5490981963927856,1497
52,-0.7,13,20,2.281403004655315,3.5996952806208884,-0.08139425191647742,0.29177591870803354,5.673488163186176,0.5456953642384106,1510
208,-0.9,4,10,2.2776972688606167,3.7092555494103667,-0.1205740349795349,0.36028326549036627,8.789069096707635,0.5526116578349735,1321
156,-0.8,13,10,2.268675700554773,3.515488634122439,-0.10184481827144742,0.3225167766196009,6.944755822372283,0.5541184479237576,1469
156,-0.9,2,20,2.2532691875752717,3.8897620510084367,-0.09776926017584797,0.34128441419175437,7.8196740167370375,0.5351473922902494,1323
104,-0.8,8,10,2.2495374377667052,3.6235408316837985,-0.06825587168401404,0.26965741615415784,4.871410850684708,0.5423155044008124,1477
208,-0.9,6,10,2.241501030427614,3.5637534559076056,-0.13122060002348734,0.39847530017595645,11.019855446963986,0.5524737631184408,1334
208,-0.8,8,20,2.2413792700834105,3.363232534495135,-0.08215684109684118,0.2734514420684093,5.002745449056604,0.5541838134430727,1458
