Year,Days,Return_%,Annual_Return_%,Sharpe,Sortino,Max_DD_%,Win_Rate_%
1997,113,30.663942403011003,30.663942403011003,8.736787763398793,25.526834823060753,-1.2005410331559774,67.2566371681416
1998,252,116.21096433172605,116.21096433172605,7.130458646936057,12.490101810128607,-2.573632095750611,69.84126984126983
1999,252,123.69273720274548,123.69273720274548,6.17162340150183,11.121923515693847,-4.318993685770122,66.26984126984127
2000,252,159.29036900820375,159.29036900820375,6.050557191299667,9.432813409360524,-6.006556938346619,68.25396825396825
2001,248,73.0935294297832,73.0935294297832,3.4101563274560633,4.159670072008437,-14.079713276060291,62.5
2002,252,89.24451486315867,89.24451486315867,3.7830094514650847,6.073794897219861,-9.925405604187143,61.904761904761905
2003,252,70.09648354486015,70.09648354486015,5.792750102147058,11.75082118422036,-2.918192648538198,62.301587301587304
2004,252,62.94957025617944,62.94957025617944,6.116406987422331,11.310823260699145,-2.1049369669198903,65.07936507936508
2005,252,65.23805599830649,65.23805599830649,7.199233154842049,15.021949405276724,-2.6366184814239024,67.85714285714286
2006,251,49.805408056776336,49.805408056776336,5.948522269724469,12.923394633636303,-1.425315134183125,61.75298804780876
2007,251,94.99325490080636,94.99325490080636,7.809454329185341,17.953148953050636,-1.689215625569307,68.12749003984064
2008,253,112.30239200520948,112.30239200520948,3.742482006389855,6.032141099216429,-10.81989411782679,60.079051383399204
2009,252,38.8907474328595,38.8907474328595,1.786683048098871,2.4204187566385187,-21.586361385157428,58.333333333333336
2010,252,59.835514521639375,59.835514521639375,7.144875990065446,13.94278386046018,-1.6043291312745844,69.44444444444444
2011,252,64.37327957279881,64.37327957279881,4.129397577475088,8.82479235623694,-2.749993891326241,61.50793650793651
2012,250,53.049236974758074,53.049236974758074,4.038343330931698,7.029608396878419,-4.887546512616813,58.4
2013,252,68.87333310516482,68.87333310516482,6.109701050594744,11.703797746296047,-2.882065521734012,65.07936507936508
2014,252,42.72988561728117,42.72988561728117,4.843905796443333,7.969104624589029,-2.101597014801837,63.095238095238095
2015,252,79.35005940000389,79.35005940000389,5.87793380851085,9.319607771238086,-3.7542164902569564,65.07936507936508
2016,252,56.26035687156574,56.26035687156574,3.655618956515881,5.821500224435238,-7.01768080213363,59.92063492063492
2017,251,50.978861448925514,50.978861448925514,4.608322827691309,6.66491002093559,-2.8981147263295814,62.94820717131474
2018,251,72.03830980915764,72.03830980915764,5.450255548709612,9.24031627928236,-2.7804188468400604,66.13545816733067
2019,252,50.45752473999714,50.45752473999714,3.747883576353961,5.381626768682071,-3.8961981205106633,61.50793650793651
2020,253,109.60402366692578,109.60402366692578,3.2729351784751715,5.014024051204809,-11.456351150156685,61.26482213438735
2021,252,68.12214824273212,68.12214824273212,4.9826818875437064,9.668092189129752,-2.7292824721402043,62.698412698412696
2022,251,88.45743482473488,88.45743482473488,3.8187149620338543,6.003980900125053,-10.420700322699005,62.15139442231076
2023,250,49.99252863424752,49.99252863424752,3.944776607211572,6.54692406390148,-5.537317080429316,62.4
2024,252,92.3356099253889,92.3356099253889,4.977656259761407,8.913405115344663,-5.169338254780453,64.68253968253968
2025,250,105.00981803387246,105.00981803387246,5.692565932412248,11.75059357224797,-7.2413083321751115,64.0
2026,113,48.562740810469094,48.562740810469094,5.147114487764891,10.056970134928912,-4.636038081891303,62.83185840707964
