Year,Available,Ret_A,Sh_A,DD_A,Ret_C,Sh_C,DD_C,Ret_B,Sh_B,DD_B,Port_F_Geo,Port_F_Arith,Sh_F,DD_F,Wt_F_A,Wt_F_C,Wt_F_B,Cont_F_A,Cont_F_C,Cont_F_B,Check_F,Port_M_Geo,Port_M_Arith,Sh_M,DD_M,Wt_M_A,Wt_M_C,Wt_M_B,Cont_M_A,Cont_M_C,Cont_M_B,Check_M,Err_F,Err_M
1997,A,0.04873699171835266,0.46261505545177084,-0.19932517142151096,,,,,,,0.04873699171835266,0.08524527247387197,0.46261505545177084,-0.19932517142151096,1.0,0.0,0.0,0.08524527247387197,0.0,0.0,0.08524527247387197,0.04873699171835266,0.08524527247387197,0.46261505545177084,-0.19932517142151096,1.0,0.0,0.0,0.08524527247387197,0.0,0.0,0.08524527247387197,0.0,0.0
1998,A,2.196899936447051,3.0265516298323436,-0.3317181502201346,,,,,,,2.196899936447051,1.2509834963219644,3.0265516298323436,-0.3317181502201346,1.0,0.0,0.0,1.2509834963219644,0.0,0.0,1.2509834963219644,2.196899936447051,1.2509834963219644,3.0265516298323436,-0.3317181502201346,1.0,0.0,0.0,1.2509834963219644,0.0,0.0,1.2509834963219644,0.0,0.0
1999,A,2.989367904822847,2.754932748989618,-0.3211133821557405,,,,,,,2.989367904822847,1.543885074498203,2.754932748989618,-0.3211133821557405,1.0,0.0,0.0,1.543885074498203,0.0,0.0,1.543885074498203,2.989367904822847,1.543885074498203,2.754932748989618,-0.3211133821557405,1.0,0.0,0.0,1.543885074498203,0.0,0.0,1.543885074498203,0.0,0.0
2000,A,0.5949724412233035,0.9997167059953939,-0.6528021134759731,,,,,,,0.5949724412233035,0.7478051561042662,0.9997167059953939,-0.6528021134759731,1.0,0.0,0.0,0.7478051561042662,0.0,0.0,0.7478051561042662,0.5949724412233035,0.7478051561042662,0.9997167059953939,-0.6528021134759731,1.0,0.0,0.0,0.7478051561042662,0.0,0.0,0.7478051561042662,0.0,0.0
2001,A,0.23752420352294412,0.7578977425199984,-0.3797186721962865,,,,,,,0.23752420352294412,0.287533583153596,0.7578977425199984,-0.3797186721962865,1.0,0.0,0.0,0.287533583153596,0.0,0.0,0.287533583153596,0.23752420352294412,0.287533583153596,0.7578977425199984,-0.3797186721962865,1.0,0.0,0.0,0.287533583153596,0.0,0.0,0.287533583153596,0.0,0.0
2002,A,-0.12030198339924592,-0.18099029787920337,-0.3759314552065307,,,,,,,-0.12030198339924592,-0.06476143227131168,-0.18099029787920337,-0.3759314552065307,1.0,0.0,0.0,-0.06476143227131168,0.0,0.0,-0.06476143227131168,-0.12030198339924592,-0.06476143227131168,-0.18099029787920337,-0.3759314552065307,1.0,0.0,0.0,-0.06476143227131168,0.0,0.0,-0.06476143227131168,0.0,0.0
2003,A,0.9588077037829628,2.237535358030217,-0.14091572532153507,,,,,,,0.9588077037829628,0.7253317444103666,2.237535358030217,-0.14091572532153507,1.0,0.0,0.0,0.7253317444103666,0.0,0.0,0.7253317444103666,0.9588077037829628,0.7253317444103666,2.237535358030217,-0.14091572532153507,1.0,0.0,0.0,0.7253317444103666,0.0,0.0,0.7253317444103666,0.0,0.0
2004,A,2.0133307671591107,3.307391675917096,-0.20616355207373904,,,,,,,2.0133307671591107,1.1671172217279517,3.307391675917096,-0.20616355207373904,1.0,0.0,0.0,1.1671172217279517,0.0,0.0,1.1671172217279517,2.0133307671591107,1.1671172217279517,3.307391675917096,-0.20616355207373904,1.0,0.0,0.0,1.1671172217279517,0.0,0.0,1.1671172217279517,0.0,0.0
2005,A,0.45681680893095167,1.5671893337066325,-0.2250551183510281,,,,,,,0.45681680893095167,0.41082561096191916,1.5671893337066325,-0.2250551183510281,1.0,0.0,0.0,0.41082561096191916,0.0,0.0,0.41082561096191916,0.45681680893095167,0.41082561096191916,1.5671893337066325,-0.2250551183510281,1.0,0.0,0.0,0.41082561096191916,0.0,0.0,0.41082561096191916,0.0,0.0
2006,A,-0.04237359700108334,-0.001139598270035094,-0.370215197209962,,,,,,,-0.04237359700108334,-0.00033316760539267576,-0.001139598270035094,-0.370215197209962,1.0,0.0,0.0,-0.00033316760539267576,0.0,0.0,-0.00033316760539267576,-0.04237359700108334,-0.00033316760539267576,-0.001139598270035094,-0.370215197209962,1.0,0.0,0.0,-0.00033316760539267576,0.0,0.0,-0.00033316760539267576,0.0,0.0
2007,A,1.4829943485968071,2.7564009836922936,-0.16204969613004938,,,,,,,1.4829943485968071,0.9732041067102166,2.7564009836922936,-0.16204969613004938,1.0,0.0,0.0,0.9732041067102166,0.0,0.0,0.9732041067102166,1.4829943485968071,0.9732041067102166,2.7564009836922936,-0.16204969613004938,1.0,0.0,0.0,0.9732041067102166,0.0,0.0,0.9732041067102166,0.0,0.0
2008,A,-0.2572288422054051,-0.3921397928303768,-0.4755909734901558,,,,,,,-0.2572288422054051,-0.18582826932828111,-0.3921397928303768,-0.4755909734901558,1.0,0.0,0.0,-0.18582826932828111,0.0,0.0,-0.18582826932828111,-0.2572288422054051,-0.18582826932828111,-0.3921397928303768,-0.4755909734901558,1.0,0.0,0.0,-0.18582826932828111,0.0,0.0,-0.18582826932828111,0.0,0.0
2009,A,0.016366214998912776,0.23336246660730184,-0.3782997073636767,,,,,,,0.016366214998912776,0.08894840284437877,0.23336246660730184,-0.3782997073636767,1.0,0.0,0.0,0.08894840284437877,0.0,0.0,0.08894840284437877,0.016366214998912776,0.08894840284437877,0.23336246660730184,-0.3782997073636767,1.0,0.0,0.0,0.08894840284437877,0.0,0.0,0.08894840284437877,0.0,0.0
2010,A,0.6942345309064297,1.6341496178676151,-0.26931643740243805,,,,,,,0.6942345309064297,0.5935820460471338,1.6341496178676151,-0.26931643740243805,1.0,0.0,0.0,0.5935820460471338,0.0,0.0,0.5935820460471338,0.6942345309064297,0.5935820460471338,1.6341496178676151,-0.26931643740243805,1.0,0.0,0.0,0.5935820460471338,0.0,0.0,0.5935820460471338,0.0,0.0
2011,A,-0.19128729907702147,-0.23803425649103932,-0.49941928132069435,,,,,,,-0.19128729907702147,-0.10840829348279168,-0.23803425649103932,-0.49941928132069435,1.0,0.0,0.0,-0.10840829348279168,0.0,0.0,-0.10840829348279168,-0.19128729907702147,-0.10840829348279168,-0.23803425649103932,-0.49941928132069435,1.0,0.0,0.0,-0.10840829348279168,0.0,0.0,-0.10840829348279168,0.0,0.0
2012,A,0.505797217483023,1.511711966887868,-0.23180947481648273,,,,,,,0.505797217483023,0.4554992633210275,1.511711966887868,-0.23180947481648273,1.0,0.0,0.0,0.4554992633210275,0.0,0.0,0.4554992633210275,0.505797217483023,0.4554992633210275,1.511711966887868,-0.23180947481648273,1.0,0.0,0.0,0.4554992633210275,0.0,0.0,0.4554992633210275,0.0,0.0
2013,A,1.492290973952946,2.967175959765663,-0.11769617131773702,,,,,,,1.492290973952946,0.9670213533916245,2.967175959765663,-0.11769617131773702,1.0,0.0,0.0,0.9670213533916245,0.0,0.0,0.9670213533916245,1.492290973952946,0.9670213533916245,2.967175959765663,-0.11769617131773702,1.0,0.0,0.0,0.9670213533916245,0.0,0.0,0.9670213533916245,0.0,0.0
2014,A,0.2618193108309874,0.9214075648642674,-0.24838977876845114,,,,,,,0.2618193108309874,0.27843939584231736,0.9214075648642674,-0.24838977876845114,1.0,0.0,0.0,0.27843939584231736,0.0,0.0,0.27843939584231736,0.2618193108309874,0.27843939584231736,0.9214075648642674,-0.24838977876845114,1.0,0.0,0.0,0.27843939584231736,0.0,0.0,0.27843939584231736,0.0,0.0
2015,A,0.5362224438802661,1.1571821271584264,-0.3080329989902627,,,,,,,0.5362224438802661,0.533146170254378,1.1571821271584264,-0.3080329989902627,1.0,0.0,0.0,0.533146170254378,0.0,0.0,0.533146170254378,0.5362224438802661,0.533146170254378,1.1571821271584264,-0.3080329989902627,1.0,0.0,0.0,0.533146170254378,0.0,0.0,0.533146170254378,0.0,0.0
2016,A,-0.007522525832528992,0.1231496155091099,-0.32761998301676354,,,,,,,-0.007522525832528992,0.03662778184165216,0.1231496155091099,-0.32761998301676354,1.0,0.0,0.0,0.03662778184165216,0.0,0.0,0.03662778184165216,-0.007522525832528992,0.03662778184165216,0.1231496155091099,-0.32761998301676354,1.0,0.0,0.0,0.03662778184165216,0.0,0.0,0.03662778184165216,0.0,0.0
2017,A,0.2803258342896726,1.0123850397300975,-0.13700245553112245,,,,,,,0.2803258342896726,0.2874799023577326,1.0123850397300975,-0.13700245553112245,1.0,0.0,0.0,0.2874799023577326,0.0,0.0,0.2874799023577326,0.2803258342896726,0.2874799023577326,1.0123850397300975,-0.13700245553112245,1.0,0.0,0.0,0.2874799023577326,0.0,0.0,0.2874799023577326,0.0,0.0
2018,A,0.7492212563414984,1.5444339580303164,-0.29935278146963096,,,,,,,0.7492212563414984,0.6484588233523478,1.5444339580303164,-0.29935278146963096,1.0,0.0,0.0,0.6484588233523478,0.0,0.0,0.6484588233523478,0.7492212563414984,0.6484588233523478,1.5444339580303164,-0.29935278146963096,1.0,0.0,0.0,0.6484588233523478,0.0,0.0,0.6484588233523478,0.0,0.0
2019,A+C,0.3123523301241826,0.9885221144476218,-0.1690652250720559,-0.0029523809523809286,-1.0000000000000004,-0.0029523809523809286,,,,0.15929535120903848,0.16135250359938752,0.9783769754535825,-0.08704808617117055,0.5,0.5,0.0,0.16282869407557798,-0.0014761904761904762,0.0,0.16135250359938752,0.4302088705560525,0.4015242118369211,1.3522548718328666,-0.10434914718158383,0.8412698412698413,0.15873015873015872,0.0,0.4015242118369211,0.0,0.0,0.4015242118369211,0.0,0.0
2020,A+C,5.1834037858728905,3.0755403693298056,-0.27863856384061747,0.11524839141531462,0.7495879833564146,-0.04269354457377983,,,,1.6066636146106354,1.008590093175235,3.16948877576982,-0.14581123997020917,0.4268774703557312,0.4268774703557312,0.1462450592885375,0.9682786149668109,0.040311478208424026,0.0,1.008590093175235,5.976383001874787,2.147256804098201,3.3123466812045628,-0.27863856384061747,0.9208664755139502,0.05014801723967293,0.028985507246376812,2.1024988570147256,0.044757947083475365,0.0,2.147256804098201,0.0,0.0
2021,A+B+C,-0.1800639231879536,-0.2987966364328973,-0.4769304590948058,1.0472426809557431,1.3742641045252284,-0.12046661069581888,0.2035339009744317,1.593604117294214,-0.06838305352343121,0.33154623904239267,0.31662806155358264,1.2462446564972978,-0.16062041272889704,0.33333333333333326,0.33333333333333326,0.33333333333333326,-0.039779055393596816,0.29222374146100466,0.06418337548617477,0.3166280615535826,1.5601419849472449,1.1106689661753026,1.700813528469319,-0.17197861593921993,0.2487881273480766,0.371153499383576,0.38005837326834735,0.06912993827389483,0.9539755331566353,0.08756349474477244,1.1106689661753026,5.551115123125783e-17,0.0
2022,A+B+C,0.24398796063445505,0.7612296095865735,-0.1954947836017411,0.3060384825908058,1.1558874235837286,-0.10669933667530862,0.04523267164668998,0.5363185039009323,-0.07776754099794747,0.22327468607164724,0.212622519773068,1.4293092389962292,-0.08811110087782548,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.09667389524416378,0.09987178800338171,0.01607683652552257,0.2126225197730681,0.7878995680767997,0.6062312251750712,2.6827826983232455,-0.07186992491809863,0.3299402131631725,0.42735333247660245,0.242706454360225,0.21896069264739995,0.30862463501710535,0.0786458975105658,0.6062312251750711,8.326672684688674e-17,1.1102230246251565e-16
2023,A+B+C,0.5650266959092021,1.4064539274724575,-0.29821495931268205,0.27492320479326904,1.58725734560686,-0.09064848032123118,0.0935980305857369,1.49208697271778,-0.05386269627399587,0.3209203679846515,0.287383351693254,2.153265794651832,-0.0832865462181579,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.17162236262732258,0.08530739145594364,0.03045359760998785,0.2873833516932541,0.9439394662472058,0.6986405952835921,2.698271282469823,-0.0833716884736011,0.5620282757520928,0.28276961125047456,0.15520211299743258,0.5112886657864603,0.1592772935037046,0.02807463599342716,0.698640595283592,5.551115123125783e-17,1.1102230246251565e-16
2024,A+B+C,0.7406222136204714,1.3813122778224278,-0.20222260851950113,-0.014033013239417857,0.07053943162810339,-0.20814117113050312,0.20883130181884968,1.7861687749982524,-0.06840944905733526,0.31761430057509576,0.29512244247985897,1.505930096076886,-0.1510748153063607,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.22396485447010103,0.005949527311119661,0.06520806069863823,0.2951224424798589,0.7085449962490706,0.5809362473717214,1.9284218518494725,-0.1581473020141646,0.4286303909727993,0.16050371383400602,0.41086589519319466,0.42436546294357413,0.0382721712073001,0.1182986132208472,0.5809362473717214,5.551115123125783e-17,0.0
