ma_window,bubble_thr,mom_lb,hold_h,top_n,annual_ret,sharpe,max_dd,win_rate,n_trades,total_ret
2000,-0.6,26,52,5,0.0005989617419310811,13.018534253467992,-0.001960019588474915,54.54545454545454,11,0.003507847340389114
2000,-0.6,2,20,5,0.001845092881976651,11.937079686873252,-0.003606206201813178,60.0,20,0.010838568156499306
2000,-0.8,6,8,5,0.002118600310640817,10.575174589673562,-0.006472255949067862,53.84615384615385,13,0.012453479877083673
2000,-0.6,26,40,5,0.0007375818253949618,9.875222289242194,-0.003947507933119598,50.0,12,0.004321134189656073
2000,-0.6,20,20,5,0.0016094518345581843,9.846356959242682,-0.004986890003110034,70.0,20,0.009448949651072347
2000,-0.7,3,13,5,0.0015294082938368536,9.622304909289328,-0.005154066390362755,64.70588235294117,17,0.008977278697627877
2000,-0.7,3,20,5,0.0011855944746486102,9.311445337908369,-0.00467657594458748,50.0,12,0.006953371255300267
2000,-0.6,20,52,5,0.0003488239476259203,9.251149808815908,-0.0015765327241721305,45.45454545454545,11,0.002041665295138939
2000,-0.6,10,26,5,0.0009079973776564554,8.99819575604697,-0.0034092558901602787,47.05882352941176,17,0.005321714414708856
2000,-0.6,20,40,5,0.0005465698728248647,8.91618937078263,-0.0036416123550644386,50.0,12,0.0032006053857382977
2000,-0.6,2,20,10,0.0013097094552396715,8.767539680385635,-0.0041623170316702485,50.0,20,0.007683602653838717
2000,-0.7,3,20,10,0.0008556082645758689,8.40900594860319,-0.003877705190854508,50.0,12,0.005014028318394592
2000,-0.7,10,13,10,0.0012152124120721197,8.242151560500675,-0.005819545743686705,52.94117647058824,17,0.0071275887427992846
2000,-0.8,3,8,5,0.0014146971679520615,7.947157808865006,-0.006442372057586909,53.84615384615385,13,0.008301641315219266
2000,-0.7,3,20,20,0.0006287161221787407,7.541830625513273,-0.003620179956762448,58.333333333333336,12,0.0036823708599085236
2000,-0.8,13,8,5,0.0008114053559034051,7.39821601681628,-0.00581628973171211,69.23076923076923,13,0.004754481282009726
2000,-0.6,6,8,5,0.005289834465591836,6.786228720348615,-0.014902281814958451,57.14285714285714,42,0.03133458691117319
2000,-0.6,13,20,10,0.0009027873488960392,6.755022345413169,-0.0062091398486398,60.0,20,0.0052911119385352645
2000,-0.8,20,8,5,0.0013480358315147711,6.711472414119616,-0.008822232900346338,76.92307692307693,13,0.007909184861236485
2000,-0.6,10,20,5,0.0010805999907987918,6.364953626485694,-0.005923071456616968,65.0,20,0.006335978008823018
2000,-0.6,10,20,10,0.0006950196181350066,5.913912641452534,-0.005342068488363938,55.00000000000001,20,0.004071362745853735
2000,-0.7,3,13,10,0.000942330007769332,5.792592148758119,-0.005792709897156856,52.94117647058824,17,0.005523395473602921
2000,-0.6,13,20,5,0.0008489103461752912,5.7543118706982845,-0.006792806137627561,65.0,20,0.0049746964544981065
2000,-0.6,20,20,10,0.0008042626715707435,5.724955735181922,-0.005668781249023591,50.0,20,0.004712546665722517
2000,-0.6,20,26,5,0.0006669729999195795,5.715373758492369,-0.006966559492773694,52.94117647058824,17,0.003906802524238806
2000,-0.8,3,4,5,0.0030102680818002714,5.691538800742229,-0.02051174922672805,54.166666666666664,24,0.017733150343298698
2000,-0.8,6,4,20,0.0029601989807452878,5.298789464133012,-0.022756328109521662,54.166666666666664,24,0.017436081703068096
2000,-0.8,6,4,5,0.003248233294345093,4.946354274915972,-0.024020350210292474,45.83333333333333,24,0.019146022306024246
2000,-0.6,40,20,5,0.0008902037619722414,4.920817467894334,-0.008354747994743672,50.0,20,0.005217202111479136
2000,-0.6,6,8,10,0.0033270205680329124,4.880259917590375,-0.013025051639540486,52.38095238095239,42,0.01961416449447806
