UnivSize,MA_h,Threshold,Hold_h,TopN,sharpe,sortino,maxdd,ann_ret,total_ret,win_rate,active_days
60,208,-0.8,4,10,2.51076229744712,4.376484386319757,-0.09084341365100856,0.44458162627748843,14.287757824218023,0.5507246376811594,1242
60,208,-0.8,4,5,2.47306157079035,4.300173231443755,-0.09448416829850614,0.4385941858013338,13.82416856346709,0.5499194847020934,1242
60,208,-0.8,4,3,2.3257195909837427,3.9986928976056553,-0.10600199126234044,0.41065366834308237,11.817927074922943,0.5414987912973409,1241
60,104,-0.8,4,10,2.3075524160624203,3.7199263455757783,-0.09503063535304423,0.3934246083996098,10.701708899216309,0.5346687211093991,1298
40,208,-0.8,4,10,2.2566229260470982,3.6120518823010297,-0.08728995514532922,0.4050078124457248,11.442422075941316,0.5552486187845304,1086
60,104,-0.8,4,5,2.253761694164744,3.6294583813549717,-0.10442434416425173,0.384236228202262,10.141575784450218,0.5338983050847458,1298
40,208,-0.8,4,5,2.249840240713473,3.613332574601227,-0.08728995514532967,0.4049352993883635,11.437661834728802,0.5552486187845304,1086
80,104,-0.8,4,10,2.247784192339408,3.5940303280953723,-0.10873863918053595,0.35242794481689943,8.37763458832489,0.5354505169867061,1354
40,208,-0.8,4,3,2.15674227712173,3.435244438073894,-0.08955824151978131,0.38537200023899576,10.209531971799285,0.5478821362799263,1086
80,104,-0.8,4,5,2.1461341378184,3.411712121318697,-0.10937353243853565,0.3360617907201864,7.5682192589711015,0.5361890694239291,1354
60,104,-0.8,4,3,2.1160950901560134,3.3763579683608183,-0.13046022817275849,0.35987893977725194,8.767517082335871,0.5269645608628659,1298
60,156,-0.8,4,10,2.1138220995413577,3.243964610230168,-0.1337945972034591,0.37763252016779436,9.753474967570133,0.5391923990498813,1263
80,208,-0.8,4,10,2.1120220680544013,3.5098273459224067,-0.10433021173408386,0.33451488864810885,7.494941351057529,0.5323076923076923,1300
80,156,-0.8,4,10,2.0785983650511715,3.1327035361341626,-0.12519977237384816,0.34640671145928303,8.072474544273447,0.539622641509434,1325
80,104,-0.8,4,3,2.075029515891664,3.313391184613306,-0.10478320871619484,0.32971387114326745,7.270954966709631,0.53397341211226,1354
60,156,-0.8,4,5,2.06183430764536,3.1601411326012347,-0.1337945972034592,0.36774721036018887,9.194381260045558,0.5384006334125099,1263
80,208,-0.8,4,5,2.0554123722852564,3.3933881729434523,-0.10860262715228242,0.3259007494698729,7.096716182814028,0.5284615384615384,1300
80,52,-0.6,13,10,2.0023198838413507,3.044977629659224,-0.12114853553400473,0.29415810089406014,5.76527249650882,0.5395095367847411,1468
80,156,-0.8,4,5,1.9997806780007135,3.016252830936313,-0.12457464949124764,0.33330219534797023,7.437874889424624,0.5373584905660377,1325
60,156,-0.8,4,3,1.9963861278889183,3.048074176845802,-0.1337945972034591,0.3572600393527483,8.628911702616616,0.5376088677751386,1263
20,208,-0.8,4,10,1.9457806764879078,3.0451863266474426,-0.09724498363876077,0.39286863629454194,10.667137132669366,0.5294117647058824,901
20,208,-0.8,4,5,1.943143865778905,3.044605513208498,-0.09724498363876077,0.392393817339844,10.637681669117784,0.5283018867924528,901
40,104,-0.8,4,5,1.9370118638016254,3.01309802826178,-0.11308049580789004,0.33529683859008563,7.531914849776328,0.5256518082422204,1189
40,104,-0.8,4,10,1.9365048914614198,3.008163692515371,-0.10851031796970445,0.33431410124475414,7.485469773733737,0.5273338940285954,1189
20,208,-0.8,4,3,1.9318031169334384,3.014409145594256,-0.097244983638761,0.3889980208681294,10.428891833468848,0.5288888888888889,900
80,52,-0.6,13,5,1.88870678504521,2.8796987633335815,-0.12291924121654418,0.27746096120695474,5.144294294683435,0.534741144414169,1468
80,52,-0.6,8,10,1.8713351244698515,3.0358569563450137,-0.10110867834932091,0.23055556940435418,3.6560702657472675,0.534106412005457,1466
80,208,-0.8,4,3,1.8634148670088087,3.0206167791918888,-0.11186059098750678,0.2928027085196483,5.712916909375083,0.5207692307692308,1300
80,156,-0.8,4,3,1.8457252470813932,2.73547411187082,-0.12320322462153654,0.3073971069254622,6.2955322753780125,0.5373584905660377,1325
