ma_window,bubble_threshold,mom_lookback,hold_hours,top_n,total_return,annual_return,sharpe,max_drawdown,win_rate,n_trades
1000,-0.8,3,8,5,0.020444414639976705,0.0034666760699564314,3.072677037445663,-0.020808306182151903,43.28358208955223,67
252,-0.6,6,65,20,0.04929200116690757,0.008261581418173458,2.7354828169522616,-0.04455656315130563,11.475409836065573,61
500,-0.4,3,52,5,0.0446475742405783,0.007497048508566584,2.349829791698553,-0.04859930953053293,21.73913043478261,69
500,-0.4,3,52,20,0.040516787877734606,0.006814696218250926,2.1591324706918145,-0.04903769062119068,11.594202898550725,69
500,-0.4,3,52,10,0.03954014966369068,0.006653040090210505,2.112448065115663,-0.04944850545556834,18.84057971014493,69
1000,-0.8,3,8,10,0.004705868494405685,0.0008031251620259638,0.920548219735316,-0.018226051835533275,43.28358208955223,67
252,-0.2,20,52,20,0.00593132353303405,0.001011755091747002,0.41864241753213555,-0.07856299317589888,16.19047619047619,105
252,-0.1,10,52,20,0.003343004505051983,0.0005708538743034453,0.3076455175468084,-0.0813827385144753,12.5,112
252,-0.1,13,52,10,0.003239596966021052,0.0005532195772022241,0.3038178885182293,-0.08271616254012037,15.178571428571427,112
252,-0.1,20,52,20,0.0019871829930206975,0.0003395231563090295,0.2563457160759729,-0.08044518536390743,14.285714285714285,112
252,-0.1,13,52,20,0.0010093031510465256,0.00017251584460731273,0.21941794018612776,-0.08384706221753535,10.714285714285714,112
252,-0.1,6,20,10,-0.032580457934030305,-0.005647933183650311,-0.40884172257955104,-0.18585966153824496,26.5625,256
252,-0.1,6,20,20,-0.04658806633280144,-0.008124785549176172,-0.6676099874700234,-0.19667978659095375,22.265625,256
252,-0.1,6,40,10,-0.02977992936779117,-0.00515630836775427,-0.8647401351861876,-0.10942306402724078,13.043478260869565,138
252,-0.1,6,40,20,-0.03482826627791291,-0.006043383784511747,-1.0440231878478379,-0.11415509097540733,12.318840579710146,138
252,-0.1,3,40,20,-0.03529395778180533,-0.00612540703936959,-1.059933434265533,-0.11162749527335825,13.768115942028986,138
252,-0.1,3,40,10,-0.03780373587421004,-0.006568025690045887,-1.1458264615494194,-0.11510898460452212,19.565217391304348,138
500,-0.8,52,2,5,-0.09235839182204886,-0.0164340623996988,-1.7291659319445352,-0.2013405800611826,43.342776203966004,353
500,-0.8,3,4,5,-0.05044897145168836,-0.008812779684086891,-2.3076424875830295,-0.106871864347314,42.63157894736842,190
1000,-0.8,3,4,5,-0.042434020610331524,-0.007387129784348523,-2.434073238359003,-0.08372206901114954,36.440677966101696,118
252,-0.3,3,13,5,-0.11930737580558382,-0.021490333324956867,-2.5281259705204238,-0.1915890211424749,33.86581469648562,313
500,-0.8,13,2,5,-0.1578255410465529,-0.02894470022299811,-2.5723490338026536,-0.24545200228476138,41.64305949008499,353
500,-0.8,6,2,5,-0.17173767555001596,-0.03170666627244145,-2.6507037148711694,-0.2877370540243249,42.492917847025495,353
1000,-0.8,10,2,10,-0.10894545477676498,-0.01953120910471884,-2.6708316899366173,-0.15427000999747298,36.23853211009174,218
500,-0.8,10,2,5,-0.17479109390002212,-0.03231800082583658,-2.69962412308591,-0.26456948996237895,39.09348441926346,353
1000,-0.8,3,4,10,-0.03745187034588526,-0.0065059138571307296,-2.7056921314549056,-0.06922432200261741,39.83050847457627,118
500,-0.8,26,2,5,-0.1373612466764349,-0.024949895473685313,-2.781945792435938,-0.24476728534027692,40.79320113314447,353
1000,-0.8,3,2,10,-0.11680615679178397,-0.021015686273702205,-2.8120438892749604,-0.1724752384440693,40.36697247706422,218
252,-0.1,6,20,5,-0.12064106101295202,-0.02174387878961237,-2.9513426200072796,-0.18364160783884675,32.421875,256
252,-0.3,3,13,10,-0.13595090567632817,-0.02467748929152802,-3.0175668497751444,-0.20601205108215115,31.309904153354633,313
500,-0.8,26,4,5,-0.06107542797179044,-0.010718409436968224,-3.0207013414208013,-0.14366947940765906,41.578947368421055,190
252,-0.1,3,20,10,-0.12360156356370433,-0.02230783798402558,-3.074186323957193,-0.18655514045975607,26.171875,256
500,-0.8,3,2,5,-0.20111063033096843,-0.037666753999441305,-3.1006147214399027,-0.3304533722905071,39.94334277620396,353
1000,-0.8,3,8,20,-0.01497211255349995,-0.0025762242095478394,-3.190588901695455,-0.026570330158271482,40.298507462686565,67
252,-0.3,3,13,20,-0.14075902709252286,-0.025607693293737577,-3.1933631876522486,-0.20162589024726185,30.35143769968051,313
500,-0.8,20,2,5,-0.18085207421566707,-0.033537065387772125,-3.2126605516322404,-0.26120517381346664,42.20963172804532,353
