Strategy,Ann_Ret,Total_Ret,Sharpe,Sortino,MaxDD,Pos_Years,Win_Rate,Years
A,0.6395244757801204,1543392.7821416797,1.37504694393405,2.057248636904369,-0.6528021134759732,24/30,0.5406856670797191,28.8
C,0.06295139574954267,4.809707299998391,0.4695669905592589,0.14762110856530036,-0.20814117113050334,6/30,0.010326311441553077,28.8
B,0.03379506889954498,1.60628347892066,0.5734130109721981,0.14948460360490076,-0.16207198359916253,6/30,0.020239570425444033,28.8
Fixed_EW,0.5273732487031084,200244.54465747968,1.3458777315202055,1.8661510415254257,-0.6528021134759732,25/30,0.5426132452154757,28.8
Mom_Alloc,0.722927595549067,6449902.880065658,1.539267368304437,2.2887855397165353,-0.6528021134759732,25/30,0.5302216714856121,28.8
QQQ,0.10184801952898237,15.368445439473962,0.5013136534065391,0.6432713739197213,-0.8296391048824077,22/30,0.5148010463995594,28.8
SPY,0.0928786805790196,11.932986294108975,0.5541875097368658,0.7110224288955446,-0.5518944579250036,24/30,0.5423378769103676,28.8
