Date,Wealth
2019-03-05,1.0
2019-03-06,0.977363686427824
2019-03-07,0.9539367543250719
2019-03-08,0.9277726202325347
2019-03-11,0.9277726202325347
2019-03-12,0.9277726202325347
2019-03-13,0.9277726202325347
2019-03-14,0.9277726202325347
2019-03-15,0.9277726202325347
2019-03-18,0.9277726202325347
2019-03-19,0.9277726202325347
2019-03-20,0.9277726202325347
2019-03-21,0.9277726202325347
2019-03-22,0.8839083338545195
2019-03-25,0.8839083338545195
2019-03-26,0.8839083338545195
2019-03-27,0.8839083338545195
2019-03-28,0.8839083338545195
2019-03-29,0.8839083338545195
2019-04-01,0.8839083338545195
2019-04-02,0.8839083338545195
2019-04-03,0.8839083338545195
2019-04-04,0.8839083338545195
2019-04-05,0.8839083338545195
2019-04-08,0.8839083338545195
2019-04-09,0.8839083338545195
2019-04-10,0.8839083338545195
2019-04-11,0.8839083338545195
2019-04-12,0.8839083338545195
2019-04-15,0.8839083338545195
2019-04-16,0.8502627066357379
2019-04-17,0.8092112559917907
2019-04-18,0.8092112559917907
2019-04-22,0.8092112559917907
2019-04-23,0.8092112559917907
2019-04-24,0.8092112559917907
2019-04-25,0.7598825761126005
2019-04-26,0.7373722097596014
2019-04-29,0.7373722097596014
2019-04-30,0.7373722097596014
2019-05-01,0.7129497281644736
2019-05-02,0.6874970981472066
2019-05-03,0.6874970981472066
2019-05-06,0.6874970981472066
2019-05-07,0.6568818304369871
2019-05-08,0.641977893695981
2019-05-09,0.641977893695981
2019-05-10,0.641977893695981
2019-05-13,0.6094132825998022
2019-05-14,0.6094132825998022
2019-05-15,0.6094132825998022
2019-05-16,0.6094132825998022
2019-05-17,0.6094132825998022
2019-05-20,0.6094132825998022
2019-05-21,0.6094132825998022
2019-05-22,0.6094132825998022
2019-05-23,0.5844169796799474
2019-05-24,0.5844169796799474
2019-05-28,0.5694092471799141
2019-05-29,0.552755062538314
2019-05-30,0.552755062538314
2019-05-31,0.5280795631467429
2019-06-03,0.5014189091602983
2019-06-04,0.5014189091602983
2019-06-05,0.5014189091602983
2019-06-06,0.5014189091602983
2019-06-07,0.5014189091602983
2019-06-10,0.5014189091602983
2019-06-11,0.5014189091602983
2019-06-12,0.5014189091602983
2019-06-13,0.5014189091602983
2019-06-14,0.5014189091602983
2019-06-17,0.5014189091602983
2019-06-18,0.5014189091602983
2019-06-19,0.5014189091602983
2019-06-20,0.5014189091602983
2019-06-21,0.5014189091602983
2019-06-24,0.5014189091602983
2019-06-25,0.48327816345384467
2019-06-26,0.47131899744846073
2019-06-27,0.47131899744846073
2019-06-28,0.47131899744846073
2019-07-01,0.47131899744846073
2019-07-02,0.47131899744846073
2019-07-03,0.47131899744846073
2019-07-05,0.47131899744846073
2019-07-08,0.47131899744846073
2019-07-09,0.47131899744846073
2019-07-10,0.47131899744846073
2019-07-11,0.47131899744846073
2019-07-12,0.47131899744846073
2019-07-15,0.47131899744846073
2019-07-16,0.47131899744846073
2019-07-17,0.4528535407683949
2019-07-18,0.4528535407683949
2019-07-19,0.44349047809495196
2019-07-22,0.44349047809495196
2019-07-23,0.44349047809495196
2019-07-24,0.44349047809495196
2019-07-25,0.44349047809495196
2019-07-26,0.44349047809495196
2019-07-29,0.44349047809495196
2019-07-30,0.44349047809495196
