Strategy,label,ann_ret,sharpe,sortino,max_dd,total_ret,win_rate,pos_years,years
A: Daily Mom+Lev+UVXY,A: Daily Mom+Lev+UVXY,0.6395244757801204,1.3280113997293357,1.9868773600340972,-0.6528021134759732,1543392.7821416797,0.5406856670797191,24/30,28.821428571428573
C: Intraday MR,C: Intraday MR,0.06295139574954267,0.3369224370558994,0.10592069855565746,-0.20814117113050334,4.809707299998391,0.010326311441553077,6/30,28.821428571428573
B: QQQ Bubble Hourly,B: QQQ Bubble Hourly,0.03379506889954498,0.24669892792934925,0.06431261716358364,-0.16207198359916253,1.60628347892066,0.020239570425444033,6/30,28.821428571428573
Fixed Equal Weight,Fixed Equal Weight,0.5273732487031084,1.2909586959026205,1.7900020622258233,-0.6528021134759732,200244.54465747968,0.5426132452154757,25/30,28.821428571428573
Momentum Allocation,Momentum Allocation,0.722927595549067,1.4900209487179332,2.2155594742821973,-0.6528021134759732,6449902.880065658,0.5302216714856121,25/30,28.821428571428573
QQQ Buy & Hold,QQQ Buy & Hold,0.10184801952898237,0.4248799240105578,0.5451937935700623,-0.8296391048824077,15.368445439473962,0.5148010463995594,22/30,28.821428571428573
SPY Buy & Hold,SPY Buy & Hold,0.0928786805790196,0.4513070358523512,0.5790268080234234,-0.5518944579250036,11.932986294108975,0.5423378769103676,24/30,28.821428571428573
