Side,Sharpe,Sortino,Total_Return,Max_DD,Win_Rate,Avg_Return,Std_Dev,Min_Return,Max_Return,n_trades
LONG,0.42771479115472155,0.5538284588368161,-0.43899592586763747,-0.8618647416856795,0.5076187630714072,0.00038904564336285667,0.02078310768418331,-0.11076482873837246,0.15275002225240064,3347
SHORT,0.15923460383616403,0.1385249511852031,0.01664651855064858,-0.33420130784167534,0.49710982658959535,0.0002747415971530479,0.01743776752022023,-0.0903906320380825,0.049685340167737416,346
COMBINED,0.4489940402427981,0.6027025528379617,-0.4336410069425155,-0.8735300972382912,0.5066341727592742,0.00037833640968059474,0.02049081737218409,-0.11076482873837246,0.15275002225240064,3693
