date,exit_date,ticker,side,entry_price,exit_price,price_return,cost,net_ret
2024-08-07,2024-08-08,FTNT,SHORT,68.33999633789062,69.36000061035156,0.014925436451851404,0.0006953601953601954,-0.008158078421285898
2024-08-07,2024-08-08,SHOP,SHORT,67.16010284423828,67.5199966430664,0.005358744010008687,0.0006953601953601954,-0.003374732200364539
2024-08-08,2024-08-09,TKO,SHORT,118.22000122070312,116.95999908447266,-0.010658113036881023,0.0006953601953601954,0.004633696323080316
2024-08-13,2024-08-14,SBUX,SHORT,93.78500366210938,94.3550033569336,0.0060777274891177235,0.0006953601953601954,-0.003734223939919057
2024-08-14,2024-08-15,SCHW,SHORT,65.55010223388672,65.22000122070312,-0.005035858098371482,0.0013907203907203907,0.003645137707651091
2024-08-20,2024-08-21,DRI,SHORT,155.13999938964844,155.27999877929688,0.0009024067951477477,0.0013907203907203907,-0.0022931271858681384
2024-08-20,2024-08-21,MDT,SHORT,87.45999908447266,86.77999877929688,-0.007774986420009067,0.0013907203907203907,0.006384266029288676
2024-08-21,2024-08-22,TJX,SHORT,120.16999816894531,119.38999938964844,-0.006490794634117281,0.0013907203907203907,0.00510007424339689
2024-08-29,2024-08-30,COO,SHORT,104.16999816894531,104.7249984741211,0.00532783253269975,0.0006953601953601954,-0.0033592764617100704
2024-08-29,2024-08-30,BBY,SHORT,102.93000030517578,99.19000244140625,-0.03633535269290644,0.0006953601953601954,0.017472316151093025
2024-08-29,2024-08-30,VEEV,SHORT,217.39500427246094,215.7949981689453,-0.007359902813177555,0.0006953601953601954,0.002984591211228582
2024-09-03,2024-09-04,TAP,SHORT,57.095001220703125,55.744998931884766,-0.023644842104475483,0.0006953601953601954,0.011127060856877546
2024-09-03,2024-09-04,PG,SHORT,174.55999755859375,174.5800018310547,0.00011459826272175455,0.0006953601953601954,-0.0007526593267210726
2024-09-03,2024-09-04,VZ,SHORT,42.875,42.92499923706055,0.0011661629635113524,0.0006953601953601954,-0.0012784416771158716
2024-09-03,2024-09-04,ATO,SHORT,132.5399932861328,131.30499267578125,-0.009317946830473933,0.0006953601953601954,0.003963613219876771
2024-09-13,2024-09-16,WSM,SHORT,144.3800048828125,145.3300018310547,0.006579837346682993,0.0006953601953601954,-0.003985278868701692
2024-09-13,2024-09-16,WY,SHORT,32.26499938964844,32.5099983215332,0.007593334465190393,0.0006953601953601954,-0.0044920274279553925
2024-09-26,2024-09-27,AZO,SHORT,3175.35009765625,3192.52001953125,0.005407253167980741,0.0006953601953601954,-0.003398986779350566
2024-10-08,2024-10-09,EW,SHORT,67.66000366210938,67.83000183105469,0.0025125356154911405,0.0006953601953601954,-0.0019516280031057656
2024-10-09,2024-10-10,CPRT,SHORT,56.279998779296875,55.58000183105469,-0.012437756990493876,0.0006953601953601954,0.005523518299886742
2024-10-15,2024-10-16,VTRS,SHORT,11.829999923706055,11.734999656677246,-0.008030453731317277,0.0006953601953601954,0.0033198666702984434
2024-10-15,2024-10-16,SCHW,SHORT,72.0,72.68000030517578,0.009444448682996986,0.0006953601953601954,-0.005417584536858689
2024-10-15,2024-10-16,COR,SHORT,233.89999389648438,235.3000030517578,0.005985503171466622,0.0006953601953601954,-0.0036881117810935063
2024-10-15,2024-10-16,JNJ,SHORT,165.60000610351562,164.375,-0.007397379579502483,0.0006953601953601954,0.0030033295943910463
2024-10-15,2024-10-16,AMP,SHORT,515.4600219726562,514.0399780273438,-0.002754906073759167,0.0006953601953601954,0.0006820928415193881
2024-10-15,2024-10-16,KIM,SHORT,23.90999984741211,24.15999984741211,0.010455876269152675,0.0006953601953601954,-0.005923298329936533
2024-10-15,2024-10-16,SBAC,SHORT,247.72000122070312,250.52499389648438,0.011323238583719197,0.0006953601953601954,-0.0063569794872197945
2024-10-15,2024-10-16,KMB,SHORT,145.8323974609375,145.3800048828125,-0.0031021404434236066,0.0006953601953601954,0.0008557100263516079
2024-10-15,2024-10-16,ESS,SHORT,294.989990234375,295.7349853515625,0.0025254928704381285,0.0006953601953601954,-0.0019581066305792596
2024-10-15,2024-10-16,REG,SHORT,71.6500015258789,71.88999938964844,0.00334958630367721,0.0006953601953601954,-0.0023701533471988004
2024-10-16,2024-10-17,MS,SHORT,120.66500091552734,119.72000122070312,-0.007831597295439252,0.0006953601953601954,0.0032204384523594307
2024-10-17,2024-10-18,SNA,SHORT,324.6199951171875,324.29998779296875,-0.0009857905521292176,0.0006953601953601954,-0.00020246491929558656
2024-10-17,2024-10-18,TRV,SHORT,262.2799987792969,264.6199951171875,0.0089217490803013,0.0006953601953601954,-0.005156234735510846
2024-10-17,2024-10-18,BX,SHORT,171.5,175.4250030517578,0.02288631517059958,0.0006953601953601954,-0.012138517780659986
2024-10-18,2024-10-21,ISRG,SHORT,518.3599853515625,519.3099975585938,0.0018327267417967974,0.0006953601953601954,-0.001611723566258594
2024-10-22,2024-10-23,PM,SHORT,131.17999267578125,131.39999389648438,0.0016770943206778632,0.0006953601953601954,-0.001533907355699127
2024-10-25,2024-10-28,TPR,SHORT,51.43000030517578,51.529998779296875,0.0019443607530180707,0.0006953601953601954,-0.0016675405718692307
2024-10-25,2024-10-28,DLR,SHORT,187.11000061035156,184.37042236328125,-0.014641538336453541,0.0006953601953601954,0.006625408972866575
2024-10-25,2024-10-28,EQIX,SHORT,938.6099853515625,924.7000122070312,-0.01481975832520166,0.0006953601953601954,0.006714518967240634
2024-10-25,2024-10-28,RMD,SHORT,258.4700012207031,250.22999572753906,-0.031879929795520345,0.0006953601953601954,0.015244604702399977
2024-10-25,2024-10-28,AON,SHORT,383.9200134277344,374.5799865722656,-0.024328054096681817,0.0006953601953601954,0.011468666852980713
2024-10-25,2024-10-28,WDC,SHORT,55.13423538208008,53.08012008666992,-0.03725662070354552,0.0006953601953601954,0.017932950156412563
2024-10-29,2024-10-30,INCY,SHORT,72.13999938964844,73.01499938964844,0.012129193337996558,0.0006953601953601954,-0.006759956864358475
2024-10-29,2024-10-30,FFIV,SHORT,240.91000366210938,237.2899932861328,-0.015026401232610676,0.0006953601953601954,0.006817840420945142
2024-10-29,2024-10-30,LDOS,SHORT,184.92999267578125,186.60000610351562,0.009030516919244391,0.0006953601953601954,-0.0052106186549823914
2024-10-29,2024-10-30,GLW,SHORT,50.498600006103516,48.220001220703125,-0.045122018929732444,0.0006953601953601954,0.021865649269506026
2024-10-30,2024-10-31,GRMN,SHORT,205.6199951171875,199.2100067138672,-0.031173954651964264,0.0006953601953601954,0.014891617130621936
2024-10-30,2024-10-31,ABBV,SHORT,200.02000427246094,203.23500061035156,0.016073374008688024,0.0006953601953601954,-0.008732047199704208
2024-10-31,2024-11-01,ETR,SHORT,77.68499755859375,72.63999938964844,-0.06494173041764129,0.0006953601953601954,0.03177550501346045
2024-10-31,2024-11-01,MO,SHORT,54.689998626708984,54.07500076293945,-0.011245161441075346,0.0006953601953601954,0.004927220525177477
2024-10-31,2024-11-01,AME,SHORT,182.97000122070312,179.64999389648438,-0.01814509100983208,0.0006953601953601954,0.008377185309555845
2024-10-31,2024-11-01,CVNA,SHORT,50.65208053588867,46.185997009277344,-0.08817176864920606,0.0006953601953601954,0.04339052412924284
2024-10-31,2024-11-01,BMY,SHORT,55.275001525878906,54.584999084472656,-0.012483083172475373,0.0006953601953601954,0.005546181390877491
2024-10-31,2024-11-01,WTW,SHORT,305.510009765625,300.2099914550781,-0.017348100360485175,0.0006953601953601954,0.007978689984882392
2024-11-06,2024-11-07,TRMB,SHORT,71.44000244140625,71.37000274658203,-0.0009798389198213409,0.0006953601953601954,-0.00020544073544952494
2024-11-06,2024-11-07,KEY,SHORT,19.479999542236328,19.236635208129883,-0.012493035925323581,0.0006953601953601954,0.005551157767301595
2024-11-06,2024-11-07,CFG,SHORT,46.209999084472656,46.66999816894531,0.009954535675964271,0.0006953601953601954,-0.005672628033342331
2024-11-06,2024-11-07,PH,SHORT,707.6300048828125,693.1500244140625,-0.020462643427829108,0.0006953601953601954,0.009535961518554358
2024-11-06,2024-11-07,NDSN,SHORT,265.3999938964844,260.5775146484375,-0.01817060798399195,0.0006953601953601954,0.008389943796635779
2024-11-06,2024-11-07,UNH,SHORT,601.9650268554688,602.030029296875,0.00010798375072695876,0.0006953601953601954,-0.0007493520707236748
2024-11-06,2024-11-07,CAT,SHORT,411.1099853515625,408.9549865722656,-0.005241903276696158,0.0006953601953601954,0.0019255914429878837
2024-11-06,2024-11-07,ROK,SHORT,288.8320007324219,280.5975036621094,-0.028509642454545903,0.0006953601953601954,0.013559461031912756
2024-11-06,2024-11-07,CSX,SHORT,36.3650016784668,35.480098724365234,-0.02433391759268222,0.0006953601953601954,0.011471598600980914
2024-11-06,2024-11-07,LYV,SHORT,126.11000061035156,125.3550033569336,-0.005986815080199048,0.0006953601953601954,0.0022980473447393288
2024-11-07,2024-11-08,VTRS,SHORT,12.96500015258789,12.96500015258789,0.0,0.0006953601953601954,-0.0006953601953601954
2024-11-07,2024-11-08,GILD,SHORT,97.13500213623047,96.38999938964844,-0.007669766100763309,0.0006953601953601954,0.003139522855021459
2024-11-07,2024-11-08,APP,SHORT,245.3800048828125,269.73150634765625,0.09923995835142896,0.0006953601953601954,-0.05031533937107467
2024-11-07,2024-11-08,MCK,SHORT,605.6525268554688,613.1599731445312,0.012395632736877937,0.0006953601953601954,-0.0068931765637991645
2024-11-07,2024-11-08,TTWO,SHORT,176.05999755859375,176.375,0.0017891766771234163,0.0006953601953601954,-0.0015899485339219035
2024-11-07,2024-11-08,TTD,SHORT,130.77000427246094,126.0199966430664,-0.03632337290054555,0.0006953601953601954,0.017466326254912578
2024-11-07,2024-11-08,VST,SHORT,137.98989868164062,139.10000610351562,0.008044845546529178,0.0006953601953601954,-0.004717782968624785
2024-11-08,2024-11-11,PODD,SHORT,274.0,278.04998779296875,0.01478097734660122,0.0006953601953601954,-0.008085848868660806
2024-11-08,2024-11-11,AXON,SHORT,569.9400024414062,618.2899780273438,0.08483344804510051,0.0006953601953601954,-0.04311208421791045
2024-11-08,2024-11-11,COST,SHORT,950.3250122070312,934.919921875,-0.01621033870954791,0.0006953601953601954,0.00740980915941376
2024-11-08,2024-11-11,FICO,SHORT,2293.41162109375,2330.800048828125,0.016302536967412795,0.0006953601953601954,-0.008846628679066593
2024-11-08,2024-11-11,FTNT,SHORT,90.52999877929688,96.42440032958984,0.06510992632025703,0.0006953601953601954,-0.033250323355488706
2024-11-08,2024-11-11,TAP,SHORT,59.310001373291016,61.060001373291016,0.02950598481672051,0.0006953601953601954,-0.01544835260372045
2024-11-08,2024-11-11,LITE,SHORT,83.16999816894531,86.70999908447266,0.042563436256622955,0.0006953601953601954,-0.021977078323671673
2024-11-18,2024-11-19,HSIC,SHORT,73.46499633789062,76.29000091552734,0.03845374965573489,0.0006953601953601954,-0.019922235023227642
2024-11-19,2024-11-20,SMCI,SHORT,28.25,26.051000595092773,-0.07784068689937085,0.0006953601953601954,0.03822498325432523
2024-11-19,2024-11-20,HSIC,SHORT,76.29000091552734,73.83999633789062,-0.0321143603124282,0.0006953601953601954,0.015361819960853906
2024-11-20,2024-11-21,WSM,SHORT,178.58999633789062,170.4600067138672,-0.04552320841443758,0.0006953601953601954,0.022066244011858593
2024-11-21,2024-11-22,DE,SHORT,440.2250061035156,446.32000732421875,0.013845195380086883,0.0006953601953601954,-0.007617957885403637
2024-12-06,2024-12-09,LULU,SHORT,400.5899963378906,411.4599914550781,0.027134963969541737,0.0006953601953601954,-0.014262842180131064
2024-12-06,2024-12-09,HPE,SHORT,23.735000610351562,23.434999465942383,-0.012639609719594436,0.0006953601953601954,0.005624444664437022
2024-12-09,2024-12-10,HSY,SHORT,196.1699981689453,190.14999389648438,-0.03068769092446233,0.0006953601953601954,0.014648485266870969
2024-12-12,2024-12-13,CIEN,SHORT,85.0,89.72789764404297,0.055622325224034874,0.0006953601953601954,-0.028506522807377633
2024-12-18,2024-12-19,HII,SHORT,203.35499572753906,189.3300018310547,-0.06896803221532588,0.0006953601953601954,0.03378865591230275
2024-12-18,2024-12-19,FOXA,SHORT,49.880001068115234,49.095001220703125,-0.015737767253455548,0.0006953601953601954,0.007173523431367578
2025-01-08,2025-01-10,BSX,SHORT,96.38999938964844,95.30000305175781,-0.011308189073478525,0.0006953601953601954,0.004958734341379067
2025-01-08,2025-01-10,EBAY,SHORT,69.92990112304688,66.45500183105469,-0.0496911798270363,0.0006953601953601954,0.024150229718157955
2025-01-10,2025-01-13,DAL,SHORT,67.54000091552734,63.875,-0.05426415258879225,0.0006953601953601954,0.026436716099035928
2025-01-13,2025-01-14,ALNY,SHORT,255.71499633789062,247.49000549316406,-0.03216467928168909,0.0006953601953601954,0.01538697944548435
2025-01-22,2025-01-23,NFLX,SHORT,97.15570068359375,97.71199798583984,0.005725832846986245,0.0006953601953601954,-0.003558276618853318
2025-01-22,2025-01-23,ORCL,SHORT,184.49000549316406,184.78309631347656,0.001588654190393779,0.0006953601953601954,-0.0014896872905570849
2025-01-22,2025-01-23,APH,SHORT,77.0999984741211,78.44499969482422,0.017444892961373748,0.0006953601953601954,-0.00941780667604707
2025-01-22,2025-01-23,TDY,SHORT,504.0,513.9849853515625,0.019811478872147736,0.0006953601953601954,-0.010601099631434064
2025-01-22,2025-01-23,ANET,SHORT,129.16000366210938,128.35499572753906,-0.006232641001437722,0.0006953601953601954,0.0024209603053586656
2025-01-22,2025-01-23,CIEN,SHORT,93.1500015258789,99.55000305175781,0.06870640280237517,0.0006953601953601954,-0.035048561596547775
2025-01-22,2025-01-23,TEL,SHORT,154.82000732421875,155.16000366210938,0.002196074937385939,0.0006953601953601954,-0.0017933976640531648
2025-01-22,2025-01-23,NKE,SHORT,74.16000366210938,73.19499969482422,-0.013012458463216192,0.0006953601953601954,0.0058108690362479
2025-01-22,2025-01-23,TRV,SHORT,252.0500030517578,242.40499877929688,-0.03826623350796132,0.0006953601953601954,0.018437756558620465
2025-01-22,2025-01-23,ABT,SHORT,117.6050033569336,121.13999938964844,0.030058211230912235,0.0006953601953601954,-0.015724465810816313
2025-01-23,2025-01-24,TKO,SHORT,150.86000061035156,152.86000061035156,0.013257324618244581,0.0006953601953601954,-0.0073240225044824865
2025-01-23,2025-01-24,UNP,SHORT,247.52000427246094,249.82000732421875,0.00929219057877062,0.0006953601953601954,-0.005341455484745506
2025-01-23,2025-01-24,GE,SHORT,201.36500549316406,197.24000549316406,-0.020485188029059187,0.0006953601953601954,0.009547233819169398
2025-01-27,2025-01-28,SYY,SHORT,76.81999969482422,72.08000183105469,-0.06170265403019637,0.0006953601953601954,0.03015596681973799
