low_bubble_threshold,leverage_multiplier,leverage_hold_days,high_bubble_threshold,uvxy_allocation,uvxy_hold_days,Total Return,Annual Return,Sharpe Ratio,Sortino Ratio,Max Drawdown,Annual Vol
-0.9,1.1,40,0.85,0.3,30,2.97749749652419,0.04804765461506966,0.6364739453217084,17.354461906924463,-0.11646474187116562,0.07549037155131899
-0.88,1.1,40,0.85,0.3,30,2.955152474612463,0.047846980933440975,0.6335663898106534,17.27111491687052,-0.11745470110641043,0.0755200744593482
-0.9,1.2,40,0.85,0.3,30,2.8570597227903773,0.04695288204625547,0.6189898444521202,16.80507820601691,-0.11988416944109026,0.07585404262619909
-0.92,1.1,60,0.85,0.3,30,3.0708803688777015,0.048874678427199614,0.6150450964473922,17.82584540227373,-0.11693791967246003,0.07946519484426147
-0.88,1.2,40,0.85,0.3,30,2.8138206790209743,0.04655176905749592,0.6132011029662633,16.64116135909874,-0.12362559967144049,0.07591599041865564
-0.9,1.1,60,0.85,0.3,30,3.0493333190231873,0.04868549062340444,0.6125150647091443,17.74623404977356,-0.11693791967245859,0.07948456034550427
-0.88,1.1,60,0.85,0.3,30,3.0170325766115784,0.04840005354781485,0.6086108779795667,17.632493786477987,-0.1172422748637969,0.07952544934538586
-0.9,1.3,40,0.85,0.3,30,2.74000838955853,0.04585677811111344,0.6014197073740263,16.243980103426964,-0.12849650443033056,0.07624754817453105
-0.92,1.2,60,0.85,0.3,30,2.9427527797097297,0.04773515012757534,0.5980274299030757,17.253779886888466,-0.12843085939988153,0.0798210044233455
-0.95,1.1,60,0.85,0.3,30,3.3353184280827417,0.05112085119701604,0.5962627470993112,16.31928038117598,-0.1750782469682476,0.08573544372125859
-0.9,1.1,40,0.85,0.4,30,4.013859708084156,0.05632896932375675,0.5942885649619959,16.65188138887798,-0.1328858014803712,0.09478386872101253
-0.9,1.2,60,0.85,0.3,30,2.901108501732182,0.04735706466181222,0.5929905600149556,17.09393252538332,-0.12938198634698683,0.07986141408493559
-0.88,1.3,40,0.85,0.3,30,2.6772600679935934,0.04525546158475158,0.5927818791449088,15.999227540696493,-0.13362424300640963,0.0763442054774563
-0.88,1.1,40,0.85,0.4,30,3.9856925489250994,0.05612670998721647,0.5920064150893931,16.584583267469434,-0.1328858014803712,0.09480760437155283
-0.95,1.2,60,0.85,0.3,30,3.277544655085072,0.05064163591227078,0.5890821783644986,16.08777686253232,-0.1750782469682477,0.08596701406392898
-0.92,1.1,50,0.85,0.3,30,2.4524677687125602,0.04301675734246024,0.5873758762674536,15.863034367991132,-0.12650043795311194,0.07323548528382727
-0.88,1.2,60,0.85,0.3,30,2.839085120593038,0.046786668340517146,0.5852233816096523,16.869486020216836,-0.13209538694212308,0.07994668328498904
-0.9,1.4,40,0.85,0.3,30,2.626256710851323,0.04475934873141019,0.5837889446527568,15.673232810893909,-0.1378789857223055,0.0766704288277221
-0.95,1.3,60,0.85,0.3,30,3.2203295234440183,0.05016085223519262,0.5817903570175025,15.845047064830995,-0.17507824696824748,0.08621808806240422
