Year,Days,Return_%,Sharpe,Sortino,Max_DD_%,Win_Rate_%
2019,210,-78.86948102546188,-7.391695702803426,-10.123815913117156,-78.86948102546188,0.0
2020,253,-92.05484889370956,-4.79850493693139,-2.6440979343450337,-92.05484889370956,0.0
2021,252,-78.53155523260097,-7.016715084852724,-10.768725195146278,-78.53155523260097,0.0
2022,251,-93.30526333846134,-7.602697455236091,-8.7546313530297,-93.30526333846134,0.0
2023,250,-87.01802869703158,-7.094247092363601,-7.799704348242364,-87.01802869703158,0.0
2024,252,-87.92937857825154,-7.134475593610382,-7.415130102332298,-87.92937857825154,0.0
2025,250,-89.05512409379713,-6.375093003586535,-5.5757761218400415,-89.05512409379713,0.0
2026,113,-74.49939322685557,-8.166759252459833,-10.178013500787348,-74.49939322685557,0.0
