ma_window,z_window,buy_threshold,short_threshold,hold_hours,top_n,Sharpe,Sortino,Total_Return,Max_DD,n_trades,Win_Rate
100,100,0.5,0.9,8,20,-0.15376916484978653,-0.2294375186295953,-0.03200374698269837,-0.1568598343974167,409,0.46454767726161367
50,100,0.6,0.95,8,10,-0.15727834500875132,-0.20474739805397832,-0.08310551777203956,-0.23234701306396988,412,0.4733009708737864
100,100,0.6,0.92,8,10,-0.15789968065450694,-0.2213114118291916,-0.0479645244334399,-0.13280668652585648,409,0.5012224938875306
50,100,0.5,0.9,8,20,-0.16263760970299607,-0.21787125454357628,-0.05469158248688988,-0.15008098829484162,416,0.4831730769230769
50,100,0.7,0.97,8,10,-0.16563207215645778,-0.21599738223543175,-0.0930617772540614,-0.26444541482011263,411,0.49391727493917276
50,100,0.7,0.85,8,10,-0.1720962526514602,-0.2770180780408369,-0.03972103837047314,-0.1359630121771448,415,0.43855421686746987
50,100,0.6,0.85,8,10,-0.18155461661289352,-0.29559013061747386,-0.04172160560035043,-0.14320086662562015,415,0.43855421686746987
50,100,0.7,0.92,8,20,-0.18261476488737366,-0.22533750666686672,-0.0716831969953935,-0.18172438136659386,411,0.49148418491484186
50,100,0.8,0.9,8,20,-0.18998111771776563,-0.2673349705718035,-0.06789665984036808,-0.13714927751411787,408,0.46568627450980393
50,100,0.6,0.92,8,20,-0.19626281858994132,-0.2513899342682815,-0.0736128131431063,-0.18950021611782186,412,0.4878640776699029
100,100,0.8,0.85,8,10,-0.19915993472016255,-0.36323764676569736,-0.0315989269945004,-0.10610678478855584,405,0.42962962962962964
