Year,Days,Return_%,Sharpe,Max_DD_%
2019,89,0.0,0.0,0.0
2020,111,-51.92236588869695,-8.362301260465582,-51.95059390711394
2021,252,-86.16664195524464,-9.421111696522788,-86.35903441417531
2022,251,-92.13361272803155,-8.548138170939431,-92.13361272803155
2023,250,-90.52843218074644,-10.67538900112237,-90.52843218074644
2024,244,-90.87604497662754,-9.309564191057165,-90.87604497662754
2025,250,-95.54482962317805,-9.12794188659121,-95.54482962317805
2026,112,-85.2129980513682,-10.466708920349376,-85.87178668014445
