Year,Cont_A,Cont_C,Cont_B,Wt_A,Wt_C,Wt_B
2019,0.26277259518383617,-0.00046863189720332195,0.0,0.8412698412698413,0.15873015873015872,0.0
2020,4.773222775462435,0.005779478319539772,0.0,0.9208664755139502,0.05014801723967293,0.028985507246376812
2021,-0.04479776625287889,0.3886877857405619,0.07735476330930341,0.2487881273480766,0.371153499383576,0.38005837326834735
2022,0.08050143974097984,0.13078656540126354,0.010978261356608406,0.3299402131631725,0.42735333247660245,0.242706454360225
2023,0.3175609796557509,0.0777399277431273,0.01452661211930469,0.5620282757520928,0.28276961125047456,0.15520211299743258
2024,0.31745318898728275,-0.002252350741208342,0.0858016597661619,0.4286303909727993,0.16050371383400602,0.41086589519319466
2025,0.9498929505811622,0.07458277808235036,0.01682584679668406,0.5396256395038377,0.3440709106116908,0.11630344988447149
2026,1.0553245448141675,0.05428593382994903,0.11339980971600801,0.4972261741998875,0.1955686553425071,0.30720517045760537
