UnivSize,MA_h,Threshold,Hold_h,TopN,Sharpe,Sortino,Ann_Ret,MaxDD,Total_Ret,Win_Rate,Active_Days
60,52,-0.2,26,5,5.428646213667908,11.970601458451691,3392.3930536986613,-0.8304979052587816,1.5013243628618934e+26,0.6496598639455783,1470
60,208,-0.6,52,3,5.410165671693887,26.959989341903604,169139837.60310844,-0.9613245544605612,1.0116666925359507e+61,0.6737057220708447,1468
60,208,-0.6,52,5,5.407514152056474,26.766690256229438,163993630.8690316,-0.9624489372176882,8.045409983440995e+60,0.6709809264305178,1468
20,156,-0.4,52,3,5.399796773793473,20.8477361998381,22572210.228784796,-0.9482849354866696,3.312327526930442e+54,0.6368638239339752,1454
20,156,-0.4,52,5,5.395811033328854,20.753024050884854,22167633.387793146,-0.9482849354866696,2.8966587177183517e+54,0.6382393397524071,1454
20,156,-0.4,52,10,5.395811033328854,20.753024050884854,22167633.387793146,-0.9482849354866696,2.8966587177183517e+54,0.6382393397524071,1454
60,156,-0.6,52,10,5.386232527247825,25.48574494266056,33988236.012015544,-0.888175775164815,6.886889901334615e+55,0.6826265389876881,1462
80,52,-0.6,52,10,5.382497519575544,21.82671890022261,9798490.54465649,-0.9515113714536234,6.810094066387432e+51,0.6850340136054421,1470
80,52,-0.6,52,5,5.365537514256885,21.774704077310947,8800014.612067323,-0.9547022886314305,3.0696878601780794e+51,0.6802721088435374,1470
60,156,-0.6,52,5,5.358226256279047,25.27611480987698,30256240.926723443,-0.8959412870300105,2.90743397828633e+55,0.6812585499316005,1462
60,52,-0.4,26,10,5.357763352188939,12.517254726887415,3417.556950703797,-0.7958260457194879,1.5858562017776837e+26,0.6435374149659864,1470
80,156,-0.2,26,3,5.3513816391953055,13.341536492117111,3546.985250636423,-0.7305111121986609,2.088910645039425e+26,0.6496598639455783,1470
60,52,-0.4,26,5,5.350808618927522,12.608675526980159,3341.971986179838,-0.8123760214909511,1.3436070875429244e+26,0.6394557823129252,1470
60,156,-0.6,52,3,5.345317670060273,25.93246742221422,40091987.13826414,-0.9002080058570657,2.3433047955171503e+56,0.6812585499316005,1462
80,156,-0.2,26,10,5.333790261604668,12.81513772209865,3474.6211551410074,-0.8050609971442514,1.7929505494016047e+26,0.6523809523809524,1470
80,156,-0.2,26,5,5.317886067860403,12.92464231693771,3358.4633699324886,-0.7891658508192076,1.3935337749140173e+26,0.6503401360544218,1470
60,52,-0.4,26,3,5.28184669140332,12.93193257305208,3444.7501929900614,-0.7764575926551045,1.6818044567265618e+26,0.6374149659863946,1470
60,208,-0.4,26,10,5.2776627795544435,14.207012679862546,7439.6871578197315,-0.784217797449491,5.064376823960627e+28,0.6341961852861036,1468
20,104,-0.2,52,10,5.249829285391943,19.64029086697487,12252160.066240389,-0.9653425049402661,3.5704032940321907e+52,0.655266757865937,1462
20,104,-0.2,52,5,5.247154982284132,19.639423326245545,12124701.140550477,-0.9653425049402661,3.3040397030760394e+52,0.6545827633378933,1462
20,104,-0.2,52,3,5.24631923504417,19.726923810143163,12345420.13354976,-0.9643370138884579,3.7768825306698926e+52,0.655266757865937,1462
60,208,-0.4,26,5,5.2380341516544995,13.994809737640871,6752.518388138671,-0.8059384556922482,2.468986717299966e+28,0.6341961852861036,1468
60,104,-0.4,26,10,5.21491143597499,11.791033798362466,3166.9126572535274,-0.8548337616982098,9.017420786898994e+25,0.6346938775510204,1470
60,156,-0.2,26,3,5.206959541771755,13.635797052202928,5499.9797469010255,-0.7874854007269146,5.395060125062447e+27,0.6346938775510204,1470
60,208,-0.8,52,3,5.205962379222459,21.00197188094445,9902565.727727802,-0.9659380824270849,7.365006232394764e+51,0.6133984647592463,1433
60,104,-0.4,26,3,5.199967031570822,12.177195340550963,3128.609390593941,-0.8617405039785933,8.23973377343115e+25,0.6340136054421769,1470
60,104,-0.4,26,5,5.195726634255754,11.772276001402847,2983.490319867099,-0.8563390391733012,5.794750260734732e+25,0.6319727891156462,1470
60,156,-0.2,26,10,5.184841514585534,13.326021042273865,5417.163434535095,-0.8164939514106263,4.8211717901823643e+27,0.6353741496598639,1470
60,208,-0.4,26,3,5.184499731641184,14.27525608620548,6753.889695088207,-0.8217933962644741,2.472706046336614e+28,0.6301089918256131,1468
40,156,-0.6,52,10,5.180742056313838,25.386605231715784,54621395.845351435,-0.9177058343832123,2.3204970605432406e+57,0.6659807956104252,1458
40,156,-0.6,52,5,5.166855868077303,25.487616658717435,51420056.76395255,-0.9212141525296718,1.4828847081168637e+57,0.6659807956104252,1458
60,208,-0.8,52,5,5.1642983544873795,20.814875167081745,9323746.268368138,-0.9659380824270849,4.712381002785001e+51,0.6140963014654571,1433
60,208,-0.8,52,10,5.157510280322045,20.980425540090113,9862364.96431003,-0.9659380824270849,7.146195581055552e+51,0.6127006280530356,1433
40,52,-0.4,52,3,5.15306380267039,26.712867397432518,432028172.27422374,-0.9797284800079613,1.0581553650521336e+64,0.6530612244897959,1470
40,156,-0.6,52,3,5.151387654262397,25.388504311637565,48788406.94801638,-0.9251288840164333,1.004495332120719e+57,0.6659807956104252,1458
60,156,-0.2,26,5,5.146871071440424,13.244283204735256,4989.13042316492,-0.8214549201735212,2.619215061171338e+27,0.6340136054421769,1470
