,Daily_Return
2021-01-27,-0.03439062352523825
2021-01-28,0.008173220801958037
2021-01-29,-0.036094825818213994
2021-02-01,0.00867151073292316
2021-02-02,0.0
2021-02-03,0.0
2021-02-04,0.0
2021-02-05,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,-0.004697284258523005
2021-02-12,-0.0005555004622503912
2021-02-16,-0.035142433394035444
2021-02-17,-0.011302577399433744
2021-02-18,-0.013553389080943723
2021-02-19,0.0
2021-02-22,-0.03143245026767427
2021-02-23,-0.007080121917686144
2021-02-24,0.0019503047745315083
2021-02-25,-0.016719451523148465
2021-02-26,-0.015093015826194822
2021-03-01,0.005755405873312469
2021-03-02,-0.003907937049955512
2021-03-03,-0.01597237107107874
2021-03-04,-0.017883209296409186
2021-03-05,0.018594655458060494
2021-03-08,-0.0010000000000000009
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,0.0
2021-03-15,0.0
2021-03-16,-0.01418736032792578
2021-03-17,-0.0023663175142951687
2021-03-18,-0.024670577416598283
2021-03-19,-0.012655565732164642
2021-03-22,-0.0056042644792004825
2021-03-23,-0.042890127503241615
2021-03-24,0.00016553398489249638
2021-03-25,0.0010556791073064176
2021-03-26,0.0020005411624790526
2021-03-29,0.0
2021-03-30,0.0
2021-03-31,0.0
2021-04-01,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,0.0
2021-04-08,-0.014074251604730748
2021-04-09,-0.002689751124654194
2021-04-12,0.0
2021-04-13,-0.016424693362434684
2021-04-14,0.010014180381537896
2021-04-15,0.0
2021-04-16,0.0
2021-04-19,-0.022884775545660596
2021-04-20,-0.0200886604226711
2021-04-21,0.008978775134781625
2021-04-22,-0.012918895904692196
2021-04-23,-0.0027569633753282696
2021-04-26,-0.017927313831949565
2021-04-27,-0.003104300198948584
2021-04-28,-0.014436032264916299
2021-04-29,-0.003934183333967889
2021-04-30,-0.043740646496129965
2021-05-03,-0.0048175589094582305
2021-05-04,-0.030427443740430493
2021-05-05,-0.003661970742830145
2021-05-06,-0.04105756996753396
2021-05-07,0.019852282587522474
2021-05-10,0.0
2021-05-11,-0.025346240860817493
2021-05-12,-0.03652168220191521
2021-05-13,0.00900961724041216
2021-05-14,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,-0.02346462457953913
2021-05-20,-0.005023682018085673
2021-05-21,0.0
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,0.0
2021-05-27,0.0
2021-05-28,0.0
2021-06-01,-0.01798192014017519
2021-06-02,-0.007068604862628058
2021-06-03,-0.024762819181537887
2021-06-04,0.002408389796309196
2021-06-07,-0.013900184309606711
2021-06-08,-0.003013063089037149
2021-06-09,-0.026710467204139166
2021-06-10,-0.017347780098265098
2021-06-11,-0.005160355967693264
2021-06-14,-0.014745476726380713
2021-06-15,-0.0025977785838624534
2021-06-16,-0.02188464751957675
2021-06-17,-0.02760789377066697
2021-06-18,-0.03192240381603417
2021-06-21,0.008622422825778298
2021-06-22,-0.0071838600511672235
2021-06-23,0.0
2021-06-24,0.0
2021-06-25,0.0
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,0.0
2021-07-06,-0.02293754852859342
2021-07-07,-0.0038291918286311732
2021-07-08,-0.027816946259434427
2021-07-09,0.01575320777130873
2021-07-12,0.0
2021-07-13,0.0
2021-07-14,-0.018762517168486426
2021-07-15,-0.011611421929828225
2021-07-16,-0.017465611847358398
2021-07-19,-0.03197937563602549
2021-07-20,0.02308974603533609
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,0.0
2021-07-26,0.0
2021-07-27,0.0
2021-07-28,0.0
2021-07-29,0.0
2021-07-30,0.0
2021-08-02,-0.019337392730402803
2021-08-03,-0.010581211678637126
2021-08-04,-0.03797488340579103
2021-08-05,0.005956862204953284
2021-08-06,0.0
2021-08-09,0.0
2021-08-10,-0.023570151644271342
2021-08-11,-0.011647894520674162
2021-08-12,0.0
2021-08-13,0.0
2021-08-16,-0.02419054259184461
2021-08-17,-0.02509790141469115
2021-08-18,-0.012945779753901876
2021-08-19,-0.008407631753409195
2021-08-20,0.0034136859894857707
2021-08-23,0.0
2021-08-24,-0.02121770497721942
2021-08-25,-0.005498358254242497
2021-08-26,-0.010818118273284383
2021-08-27,0.0006074719122692862
2021-08-30,0.0
2021-08-31,0.0
2021-09-01,-0.019489320962270296
2021-09-02,0.0027425225144712684
2021-09-03,-0.010643475933091895
2021-09-07,-0.014109265994588283
2021-09-08,-0.006224212011949115
2021-09-09,-0.024853364421169144
2021-09-10,-0.01134685054910678
2021-09-13,-0.0014327591686523755
2021-09-14,-0.02464974626863725
2021-09-15,0.0002648998086891563
2021-09-16,0.0
2021-09-17,-0.02508746593092792
2021-09-20,-0.019408270205923506
2021-09-21,-0.014510458410950333
2021-09-22,0.0
2021-09-23,0.0
2021-09-24,0.0
2021-09-27,-0.008290645083696147
2021-09-28,-0.038103577767320096
2021-09-29,-0.005940649860582958
2021-09-30,-0.022625932101509538
2021-10-01,0.010149875434597444
2021-10-04,-0.02169433373536378
2021-10-05,0.006538000747710271
2021-10-06,-0.01657921826826736
2021-10-07,0.012826278813416137
2021-10-08,0.0
2021-10-11,-0.008651268033777804
2021-10-12,-0.009298933530560438
2021-10-13,-0.011546099338683113
2021-10-14,0.0031634332934997733
2021-10-15,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,-0.011957730514189913
2021-10-25,2.1749868819309626e-06
2021-10-26,-0.04087151538771738
2021-10-27,-0.023586535771084716
2021-10-28,-0.008016382934468713
2021-10-29,-0.010446009406404722
2021-11-01,0.00491554845046438
2021-11-02,0.0
2021-11-03,-0.0018044418285193542
2021-11-04,-0.007876711530217628
2021-11-05,-0.005731285007580134
2021-11-08,0.02172573935158084
2021-11-09,0.0
2021-11-10,-0.013920391240046737
2021-11-11,0.007335221221382637
2021-11-12,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,-0.02123641197646331
2021-11-18,-0.013606331231951208
2021-11-19,-0.015005626744061917
2021-11-22,-0.030283311072896835
2021-11-23,-0.00911151485402295
2021-11-24,-0.005736719474405794
2021-11-26,-0.05321668516452638
2021-11-29,-0.0013640609915445134
2021-11-30,-0.047317722786947236
2021-12-01,-0.02027060147794635
2021-12-02,0.01713741554893855
2021-12-03,-0.023715040021512923
2021-12-06,-0.0046474096395109354
2021-12-07,0.0
2021-12-08,0.0
2021-12-09,0.0
2021-12-10,0.0
2021-12-13,0.0
2021-12-14,-0.03451122628955838
2021-12-15,-0.01766840688583382
2021-12-16,0.0
2021-12-17,-0.03061145319781511
2021-12-20,-0.027384523652430492
2021-12-21,0.018244112206587948
2021-12-22,-0.0010000000000000009
2021-12-23,0.0
2021-12-27,0.0
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,0.0
2021-12-31,-0.007518555597169629
2022-01-03,9.686353042503981e-05
2022-01-04,-0.019570341838657912
2022-01-05,-0.057499896416409624
2022-01-06,-0.00490729700127901
2022-01-07,-0.01900241646999412
2022-01-10,-0.00567547833955373
2022-01-11,0.002085588755141421
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,-0.01473595393566296
2022-01-18,-0.01611697200163087
2022-01-19,-0.03366390033565614
2022-01-20,-0.020570018836093884
2022-01-21,-0.024767127099401764
2022-01-24,-0.017248250140937005
2022-01-25,-0.008630545188027972
2022-01-26,0.0
2022-01-27,-0.007965662961415654
2022-01-28,0.010336062899816367
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,-0.010146675140601857
2022-02-07,-0.0009596821679674905
2022-02-08,-0.03293249939548726
2022-02-09,0.016709335112940815
2022-02-10,-0.01983020129896662
2022-02-11,-0.011205637589976503
2022-02-14,-0.010083150375560845
2022-02-15,0.0166468647334177
2022-02-16,-0.008437425841758772
2022-02-17,-0.026197689797044288
2022-02-18,-0.021956941385950834
2022-02-22,-0.025159693842491837
2022-02-23,-0.027212305503530487
2022-02-24,0.005332358485146127
2022-02-25,-0.0010000000000000009
2022-02-28,0.0
2022-03-01,-0.016584226635456334
2022-03-02,0.022312117173401758
2022-03-03,0.0
2022-03-04,-0.05392445204047436
2022-03-07,-0.07605922765716255
2022-03-08,-0.00703944135217538
2022-03-09,0.0369207226155861
2022-03-10,-0.009084717729075598
2022-03-11,0.0
2022-03-14,-0.0473243982620396
2022-03-15,-0.0049158181552041436
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,-0.018551164642475193
2022-03-24,0.0029492011098279924
2022-03-25,-0.00827926578865723
2022-03-28,0.007368595139433554
2022-03-29,-0.01910817697000977
2022-03-30,0.001330637163252879
2022-03-31,-0.019470088370378003
2022-04-01,-0.014885627496805554
2022-04-04,-0.018707867992341476
2022-04-05,-0.00835751606032864
2022-04-06,-0.028270239920208384
2022-04-07,-0.024004755371847875
2022-04-08,0.0007472497830856017
2022-04-11,-0.030607734243737306
2022-04-12,-0.01916571594638783
2022-04-13,-0.003988605163587899
2022-04-14,-0.009946791908239772
2022-04-18,-0.01674187865154597
2022-04-19,0.007163042672164055
2022-04-20,0.0
2022-04-21,-0.033308427680044606
2022-04-22,-0.039168273550093446
2022-04-25,-0.014689316707321876
2022-04-26,-0.04124022897018076
2022-04-27,0.005652213484788282
2022-04-28,0.0
2022-04-29,-0.017120163156823187
2022-05-02,-0.0072091018355395775
2022-05-03,-0.0010000000000000009
2022-05-04,0.034508192727338294
2022-05-05,-0.060486556693234994
2022-05-06,-0.054485412830905244
2022-05-09,-0.07105551530081977
2022-05-10,-0.006499141831396993
2022-05-11,0.0
2022-05-12,-0.01942521571167899
2022-05-13,0.027689658260102057
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,-0.0853757165237975
2022-05-19,-0.023551571546863603
2022-05-20,-0.0049849338542434785
2022-05-23,0.011047103774118883
2022-05-24,-0.06836763739269569
2022-05-25,0.005735692937544945
2022-05-26,0.0
2022-05-27,0.0
2022-05-31,0.0
2022-06-01,-0.017710975212386848
2022-06-02,-0.0010648085739281
2022-06-03,0.0
2022-06-06,0.0
2022-06-07,-0.005780600590694629
2022-06-08,-0.02906137013590704
2022-06-09,-0.029555226612833163
2022-06-10,-0.03217210352654343
2022-06-13,-0.051453871579525856
2022-06-14,-0.007393541639555412
2022-06-15,0.0
2022-06-16,-0.03027426767206698
2022-06-17,-0.022314960113393734
2022-06-21,0.0
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,0.0
2022-06-27,0.0
2022-06-28,0.0
2022-06-29,0.0
2022-06-30,-0.03993896126188412
2022-07-01,-0.0030790514003616876
2022-07-05,-0.02909013663204063
2022-07-06,-0.0017584911760436528
2022-07-07,0.0
2022-07-08,0.0
2022-07-11,0.0
2022-07-12,-0.009863286833123652
2022-07-13,-0.010111045770464844
2022-07-14,-0.023492769602961427
2022-07-15,0.012803146625034234
2022-07-18,0.0
2022-07-19,0.0
2022-07-20,-0.009862047590824208
2022-07-21,-0.01113750037450445
2022-07-22,0.0
2022-07-25,0.0
2022-07-26,-0.05174757505816696
2022-07-27,0.01540637530544986
2022-07-28,0.0
2022-07-29,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,-0.04369609776195449
2022-08-05,0.014089312227618
2022-08-08,0.0
2022-08-09,-0.05024391690406593
2022-08-10,0.026552816516402622
2022-08-11,0.0
2022-08-12,0.0
2022-08-15,0.0
2022-08-16,0.0
2022-08-17,-0.019036772205228036
2022-08-18,-0.012760730437118561
2022-08-19,-0.03556004737366569
2022-08-22,-0.03819746425873649
2022-08-23,-0.010889121327675166
2022-08-24,0.0
2022-08-25,0.0
2022-08-26,-0.01948652149209762
2022-08-29,-0.01750960248052369
2022-08-30,-0.016340490155550835
2022-08-31,-0.003917922785903971
2022-09-01,-0.04526814391940104
2022-09-02,0.01108786075060797
2022-09-06,-0.0030127256715071216
2022-09-07,0.011614346777424345
2022-09-08,-0.0010000000000000009
2022-09-09,0.0
2022-09-12,0.0
2022-09-13,-0.0093676140832194
2022-09-14,-0.005754859683517188
2022-09-15,-0.016318742729059643
2022-09-16,-0.009718555063431777
2022-09-19,0.008309673759352876
2022-09-20,-0.009274317435441382
2022-09-21,-0.02655348552310366
2022-09-22,-0.025533248052902358
2022-09-23,-0.02864258195612701
2022-09-26,-0.03225479159713607
2022-09-27,-0.010598974632946012
2022-09-28,0.005796426144165423
2022-09-29,-0.00705467381067737
2022-09-30,-0.029392324476993137
2022-10-03,0.0
2022-10-04,0.0
2022-10-05,0.0
2022-10-06,0.0
2022-10-07,-0.04329168831231356
2022-10-10,-0.012637139262923425
2022-10-11,-0.03954541469959216
2022-10-12,-0.001027955918887713
2022-10-13,0.0008201595430004094
2022-10-14,-0.03976677065041556
2022-10-17,0.019326826845767586
2022-10-18,-4.424542173508961e-05
2022-10-19,0.0
2022-10-20,0.0
2022-10-21,0.0
2022-10-24,0.0
2022-10-25,0.0
2022-10-26,0.0
2022-10-27,0.0
2022-10-28,0.0
2022-10-31,0.0
2022-11-01,-0.017350685839270907
2022-11-02,-0.0380806214334104
2022-11-03,-0.021094727371866462
2022-11-04,-0.03370180203200801
2022-11-07,-0.016140873222227348
2022-11-08,0.0
2022-11-09,-0.018538681113056454
2022-11-10,0.036781720242911264
2022-11-11,-0.014562211257750701
2022-11-14,-0.0010733570482106547
2022-11-15,0.0
2022-11-16,0.0
2022-11-17,-0.015544475636446675
2022-11-18,-0.0028946575035817546
2022-11-21,0.008200707659184792
2022-11-22,0.01602437441867166
2022-11-23,0.0
2022-11-25,0.0
2022-11-28,-0.006853738764407646
2022-11-29,-0.006887857908028372
2022-11-30,0.001365726946199075
2022-12-01,-0.0017376502876174094
2022-12-02,0.0
2022-12-05,-0.04164356646374179
2022-12-06,-0.017968013560208718
2022-12-07,-0.016622299531053764
2022-12-08,-0.0010000000000000009
2022-12-09,-0.00885642780717466
2022-12-12,0.0041495551356791616
2022-12-13,-0.0014453096525115505
2022-12-14,0.0
2022-12-15,-0.03911020742187954
2022-12-16,-0.01770036350841686
2022-12-19,-0.018904214064967673
2022-12-20,-0.004679118644198232
2022-12-21,0.0
2022-12-22,0.0
2022-12-23,0.0
2022-12-27,0.0
2022-12-28,0.0
2022-12-29,0.0
2022-12-30,-0.0018680879986451293
2023-01-03,-0.010538333798869148
2023-01-04,-0.013784789034865574
2023-01-05,-0.016974852255126405
2023-01-06,0.014238501449508778
2023-01-09,0.010928967288969194
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-17,0.0
2023-01-18,-0.03160336779199968
2023-01-19,-0.017036756802287778
2023-01-20,0.013284334829443356
2023-01-23,0.0027438684006575453
2023-01-24,0.0
2023-01-25,-0.03004199313321876
2023-01-26,0.0012623828556319605
2023-01-27,0.0
2023-01-30,0.0
2023-01-31,0.0
2023-02-01,-0.0007110426166861972
2023-02-02,-0.021000906060654634
2023-02-03,-0.032150811881037855
2023-02-06,-0.006398942632112825
2023-02-07,-0.009053214447258595
2023-02-08,-0.012519175133498872
2023-02-09,-0.010156475970683698
2023-02-10,9.861776269226574e-05
2023-02-13,0.002985448144728231
2023-02-14,0.0
2023-02-15,0.0
2023-02-16,-0.02925619272867852
2023-02-17,-0.008770993019903472
2023-02-21,-0.05257113398931945
2023-02-22,-0.0032772323694402195
2023-02-23,1.6891882136826908e-05
2023-02-24,-0.039917062719460716
2023-02-27,0.0025272077400415593
2023-02-28,-0.030226990102441675
2023-03-01,-0.014513076136402403
2023-03-02,0.00211938557401381
2023-03-03,-0.0010000000000000009
2023-03-06,0.0
2023-03-07,-0.02728847769266929
2023-03-08,-0.006930501913661402
2023-03-09,-0.02628559348761006
2023-03-10,-0.059378158134676506
2023-03-13,-0.033300063193254736
2023-03-14,0.0
2023-03-15,-0.05492905965573214
2023-03-16,0.008050018313137342
2023-03-17,0.0
2023-03-20,0.0
2023-03-21,0.0
2023-03-22,-0.020234027356843654
2023-03-23,-0.01288964195844211
2023-03-24,0.0007358784288815645
2023-03-27,0.0034562885612785532
2023-03-28,-0.0014522649094848017
2023-03-29,0.016540867834706985
2023-03-30,0.0
2023-03-31,0.0
2023-04-03,0.0
2023-04-04,-0.013323059600951925
2023-04-05,-0.012965983925815605
2023-04-06,-0.028030218847409194
2023-04-10,0.0021654466688127982
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,-0.011306508194203091
2023-04-14,-0.019759312875411883
